Application:, Trigno Discover (1.6.5)
Date/Time:, 12/02/2025 17:06:21
Collection Length (seconds):, 35.775
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9526367, -0.140625, -0.3188477, -13.2926836, -6.7682929, -3.9024391, 0.0683146
0.940918, -0.1567383, -0.3237305, -13.841464, -6.4634147, -3.9024391, 0.0710002
0.934082, -0.1616211, -0.3291016, -14.4512196, -6.5853658, -3.7804878, 0.0803998
0.925293, -0.1630859, -0.3330078, -14.0853662, -6.8292685, -3.5975611, 0.0810712
0.9277344, -0.159668, -0.3256836, -13.6585369, -7.0731707, -3.7804878, 0.0757
0.9296875, -0.1513672, -0.328125, -12.1341467, -7.7439027, -4.5731707, 0.0736858
0.9379883, -0.1420898, -0.3295898, -11.5853662, -7.5609756, -4.6951222, 0.0656291
0.9365234, -0.137207, -0.3256836, -11.341464, -7.5609756, -5.1829271, 0.0558938
0.9365234, -0.1401367, -0.3276367, -11.4024391, -7.4390244, -5.0609756, 0.0397803
0.9350586, -0.1411133, -0.3232422, -12.560976, -7.4390244, -4.9390244, 0.0226596
0.9375, -0.15625, -0.3222656, -13.4756098, -7.8658538, -4.5121951, 0.0052033
0.9379883, -0.1601562, -0.3261719, -13.841464, -8.0487804, -4.3292685, -0.0146029
0.9316406, -0.1665039, -0.328125, -13.5975609, -8.4756098, -4.4512196, -0.0337377
0.9306641, -0.1689453, -0.3320312, -13.3536587, -8.9024391, -4.6341462, -0.0464942
0.9335938, -0.1616211, -0.3457031, -12.6219511, -8.719512, -4.6341462, -0.0626078
0.9394531, -0.1606445, -0.3461914, -12.6219511, -8.9634151, -4.9390244, -0.072343
0.9448242, -0.1625977, -0.34375, -12.6219511, -9.0853662, -5.4268293, -0.0699931
0.9448242, -0.1625977, -0.3276367, -12.560976, -8.9634151, -5.5487804, -0.0673075
0.940918, -0.1655273, -0.3139648, -12.7439032, -8.3536587, -5.5487804, -0.0632792
0.9316406, -0.1606445, -0.2924805, -12.5, -8.2317076, -5.9146342, -0.0572366
0.9223633, -0.1542969, -0.284668, -12.5, -7.5609756, -5.7317076, -0.0562295
0.9082031, -0.1376953, -0.2749023, -11.9512196, -7.9268293, -5.670732, -0.0552224
0.9077148, -0.1362305, -0.277832, -11.8902445, -8.4146347, -5.609756, -0.0505226
0.9228516, -0.1274414, -0.2871094, -12.3170738, -9.3902445, -5.5487804, -0.0500191
0.9375, -0.128418, -0.2866211, -12.560976, -9.8780489, -5.4878049, -0.0370947
0.9550781, -0.1386719, -0.2817383, -13.4756098, -9.7560978, -5.3658538, -0.0303807
0.9628906, -0.1381836, -0.2788086, -13.9634151, -9.3292685, -5.1829271, -0.0263523
0.9589844, -0.1367188, -0.2768555, -14.6341467, -8.2317076, -5.1829271, -0.0243381
0.9477539, -0.1259766, -0.2675781, -15.1829271, -7.8658538, -5, -0.0260166
0.9423828, -0.125, -0.2675781, -15.6707325, -8.2926826, -4.8170733, -0.0250095
0.9428711, -0.1416016, -0.2666016, -16.1585369, -8.780488, -5.1829271, -0.0290379
0.9433594, -0.1494141, -0.265625, -16.7682934, -9.3292685, -4.7560978, -0.0263523
0.9555664, -0.1489258, -0.2626953, -16.7073174, -9.0243902, -4.2682929, -0.0172885
0.9624023, -0.1420898, -0.2709961, -16.4634151, -8.780488, -4.1463413, -0.0196384
0.9614258, -0.1347656, -0.2802734, -16.8902435, -7.9878049, -4.2682929, -0.0193027
0.9628906, -0.1298828, -0.2875977, -17.439024, -7.9878049, -4.0243902, -0.0209812
0.9609375, -0.1308594, -0.3071289, -18.7195129, -8.0487804, -4.0243902, -0.0250095
0.9672852, -0.1386719, -0.3198242, -19.2073174, -8.2926826, -4.0853658, -0.0365911
0.9663086, -0.1474609, -0.324707, -20.6707325, -8.3536587, -3.6585367, -0.047837
0.9711914, -0.1401367, -0.3354492, -21.4024391, -8.4146347, -3.3536587, -0.0548867
0.965332, -0.1386719, -0.3413086, -22.0731716, -7.1951222, -3.4146342, -0.0585794
0.9550781, -0.1391602, -0.3427734, -23.4146347, -6.8292685, -3.5975611, -0.0679789
0.9477539, -0.1401367, -0.3457031, -23.7195129, -6.7073174, -3.5975611, -0.0679789
0.9389648, -0.144043, -0.3510742, -24.6951218, -6.4024391, -3.4146342, -0.0632792
0.9365234, -0.1445312, -0.355957, -25.4268303, -6.2195125, -2.9878049, -0.0619364
0.9321289, -0.1298828, -0.355957, -26.280489, -5.670732, -3.0487804, -0.0609293
0.9301758, -0.1240234, -0.3525391, -26.6463413, -5.609756, -3.2317073, -0.0595865
0.9360352, -0.1171875, -0.3378906, -27.0121956, -5.3658538, -4.0853658, -0.0605936
0.9443359, -0.1235352, -0.324707, -27.1951218, -5.7926831, -4.2682929, -0.0708324
0.9428711, -0.1245117, -0.3178711, -27.1341476, -6.280488, -4.0853658, -0.0861067
0.9487305, -0.1293945, -0.315918, -27.1951218, -6.5853658, -3.9634147, -0.0887922
0.9511719, -0.1328125, -0.3134766, -26.6463413, -6.9512196, -3.7195122, -0.0941634
0.9536133, -0.144043, -0.309082, -26.280489, -7.6829271, -3.7804878, -0.0961776
0.9555664, -0.1489258, -0.3012695, -25.3658543, -7.9878049, -4.0853658, -0.0894636
0.9560547, -0.1582031, -0.2783203, -24.5731716, -8.4756098, -3.8414636, -0.0775463
0.956543, -0.1552734, -0.2695312, -23.8414631, -8.1707315, -4.2682929, -0.0666361
