Application:, Trigno Discover (1.6.5)
Date/Time:, 03/02/2025 10:29:59
Collection Length (seconds):, 36.261
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-0.9868164, 0.1728516, -0.2167969, -14.5731707, -8.5365858, 3.0487804, -0.0433051
-0.9873047, 0.168457, -0.2270508, -14.9390249, -7.9878049, 3.1097562, -0.0231632
-0.987793, 0.1601562, -0.2402344, -15.4878054, -7.7439027, 3.2317073, -0.0077211
-0.9882812, 0.1523438, -0.2460938, -15.8536587, -7.5609756, 3.5365853, 0.0057069
-0.9819336, 0.1342773, -0.2475586, -16.5853653, -7.2560978, 4.0853658, 0.0184634
-0.9794922, 0.1269531, -0.2416992, -17.3780499, -6.7682929, 3.7804878, 0.0224918
-0.9736328, 0.1235352, -0.237793, -17.0731716, -6.5243902, 3.7804878, 0.0030213
-0.9765625, 0.1318359, -0.2373047, -16.4634151, -6.2195125, 3.8414636, -0.0171206
-0.9799805, 0.1411133, -0.2470703, -16.0365849, -6.1585369, 3.8414636, -0.0302129
-0.9838867, 0.1386719, -0.2509766, -14.6341467, -7.0121951, 4.5731707, -0.0459907
-0.9790039, 0.1196289, -0.2431641, -14.1463413, -7.3170733, 5, -0.0493477
-0.9716797, 0.0874023, -0.2246094, -13.841464, -7.9268293, 5.4268293, -0.0527047
-0.9707031, 0.0800781, -0.2197266, -13.841464, -7.7439027, 5.3658538, -0.0715038
-0.9819336, 0.0820312, -0.2158203, -13.2926836, -6.890244, 4.6341462, -0.0906386
-0.9926758, 0.0893555, -0.2216797, -12.9268293, -6.280488, 4.8170733, -0.1077592
-1.0039062, 0.1269531, -0.2333984, -12.4390249, -4.8780489, 5.3048782, -0.119173
-1.0019531, 0.1352539, -0.2407227, -12.3170738, -4.6341462, 6.0975609, -0.1151446
-0.9931641, 0.1484375, -0.2485352, -12.8048782, -4.7560978, 6.6463418, -0.1144732
-0.9868164, 0.1469727, -0.2514648, -13.2317076, -5.0609756, 7.0731707, -0.1117876
-0.9755859, 0.1445312, -0.2441406, -13.4756098, -5, 7.1951222, -0.1225299
-0.9736328, 0.1391602, -0.2412109, -13.4756098, -5.3048782, 6.2195125, -0.1211872
-0.9746094, 0.1411133, -0.2368164, -13.2926836, -5.609756, 5.7317076, -0.1198444
-0.9804688, 0.1503906, -0.2412109, -13.5365858, -5.2439027, 5.2439027, -0.1198444
-0.9873047, 0.1601562, -0.2407227, -13.6585369, -5.2439027, 5, -0.1164874
-0.9868164, 0.1826172, -0.2456055, -14.4512196, -4.6341462, 4.8170733, -0.1131304
-0.9897461, 0.1879883, -0.2431641, -14.5731707, -4.8170733, 4.6951222, -0.1171588
-0.9838867, 0.1875, -0.2451172, -15.2439032, -4.6951222, 4.7560978, -0.1198444
-0.9790039, 0.1835938, -0.2490234, -16.0365849, -4.9390244, 4.6341462, -0.1104448
-0.9750977, 0.1777344, -0.2480469, -16.5853653, -4.8170733, 4.390244, -0.1064164
-0.9750977, 0.1733398, -0.2480469, -16.4024391, -5.1829271, 3.2926829, -0.0849317
-0.984375, 0.1557617, -0.2441406, -16.4024391, -5.4268293, 2.9878049, -0.076875
-0.984375, 0.1479492, -0.2402344, -15.7317076, -5.4878049, 3.2926829, -0.0688182
-0.9785156, 0.128418, -0.2368164, -15.7317076, -5.3658538, 3.1097562, -0.0728466
-0.9838867, 0.1254883, -0.2319336, -15.4268293, -4.5731707, 2.6829269, -0.06009
-0.9873047, 0.1279297, -0.2294922, -15.4268293, -4.390244, 2.3780489, -0.0513619
-0.9897461, 0.1347656, -0.2324219, -15.4268293, -4.1463413, 2.4390244, -0.0513619
-0.9916992, 0.144043, -0.237793, -15.1219511, -4.0243902, 2.3780489, -0.0386053
-0.980957, 0.1499023, -0.2426758, -15, -3.4146342, 2.9268293, -0.0345769
-0.9775391, 0.1484375, -0.2431641, -15.5487804, -3.4756098, 2.804878, -0.0339055
-0.9741211, 0.140625, -0.234375, -15.6707325, -3.5365853, 2.8658538, -0.027863
-0.9697266, 0.1298828, -0.2280273, -15.2439032, -4.0243902, 2.6219513, -0.0063783
-0.9614258, 0.1201172, -0.230957, -15.1829271, -4.0243902, 2.6829269, -0.0030213
-0.9628906, 0.1162109, -0.2333984, -14.6951227, -3.5365853, 2.2560976, -0.0164492
-0.9716797, 0.1137695, -0.2431641, -14.3292685, -3.4756098, 2.0731707, -0.0117494
-0.9785156, 0.1166992, -0.2529297, -13.5365858, -4.2682929, 2.5, -0.014435
-0.9799805, 0.109375, -0.2539062, -13.5365858, -4.2073174, 2.6219513, -0.0191348
-0.980957, 0.1010742, -0.25, -13.2926836, -4.0853658, 2.9268293, -0.021149
-0.9838867, 0.0961914, -0.2504883, -13.5365858, -4.1463413, 3.1707318, -0.0261845
-0.9858398, 0.0966797, -0.2514648, -12.7439032, -4.4512196, 3.1707318, -0.0396124
-0.9833984, 0.0991211, -0.2480469, -11.8902445, -4.6341462, 3.7195122, -0.0459907
-0.9848633, 0.0981445, -0.2490234, -11.8292685, -4.6951222, 4.5731707, -0.0486763
-0.9794922, 0.0976562, -0.246582, -12.0731707, -4.5731707, 4.6951222, -0.0728466
-0.9697266, 0.1025391, -0.2431641, -12.1341467, -4.0853658, 4.7560978, -0.0809033
-0.9682617, 0.1108398, -0.2412109, -11.8902445, -4.1463413, 4.6951222, -0.0731823
