Application:, Trigno Discover (1.6.5)
Date/Time:, 29/01/2025 16:25:42
Collection Length (seconds):, 40.6755
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
1.0004883, -0.0761719, -0.1108398, -17.1341476, -12.7439032, 4.8170733, -0.0409552
1.0068359, -0.0776367, -0.1044922, -19.1463413, -12.560976, 5, -0.0433051
1.0073242, -0.0786133, -0.1005859, -19.7560978, -12.3170738, 5.1829271, -0.0433051
1.0078125, -0.0854492, -0.0913086, -20, -12.1951218, 4.8780489, -0.0459907
1.0185547, -0.0878906, -0.0849609, -20.3658543, -11.9512196, 4.8780489, -0.0459907
1.0141602, -0.090332, -0.0678711, -20.9146347, -11.280488, 4.7560978, -0.0500191
1.0126953, -0.0883789, -0.0571289, -20.9756107, -11.1585369, 4.6341462, -0.0516976
1.0078125, -0.0854492, -0.0444336, -19.8780499, -10.6707315, 4.4512196, -0.0449836
1.0019531, -0.0849609, -0.034668, -17.5, -10.3048782, 3.7804878, -0.0486763
0.9970703, -0.0869141, -0.0307617, -16.4024391, -10.3048782, 3.6585367, -0.0486763
0.9985352, -0.0834961, -0.0224609, -13.5365858, -10.7317076, 2.9878049, -0.0553902
0.9960938, -0.0795898, -0.0214844, -11.9512196, -10.7926836, 2.9268293, -0.0513619
0.9941406, -0.0751953, -0.0185547, -8.780488, -11.5243902, 2.6219513, -0.0500191
0.996582, -0.0737305, -0.0268555, -7.1341467, -12.1341467, 2.3170731, -0.0533761
0.9970703, -0.0717773, -0.0336914, -4.0243902, -12.9268293, 2.3780489, -0.0520333
0.9990234, -0.0712891, -0.0439453, -2.3170731, -13.1707315, 2.3780489, -0.0466621
1.012207, -0.0717773, -0.0664062, -0.3658537, -13.841464, 2.5, -0.0513619
1.0102539, -0.0742188, -0.0786133, 0.2439024, -13.9024391, 2.6829269, -0.0513619
1.0136719, -0.065918, -0.0981445, -0.2439024, -13.7195129, 3.2317073, -0.0527047
1.0151367, -0.0600586, -0.1113281, -1.2804878, -12.9268293, 3.6585367, -0.0540475
1.0195312, -0.0571289, -0.1132812, -2.0121951, -12.4390249, 3.9024391, -0.0553902
1.0151367, -0.0463867, -0.1186523, -3.4756098, -11.280488, 4.2073174, -0.0530404
1.0126953, -0.0424805, -0.1162109, -4.7560978, -11.0365858, 4.5731707, -0.0486763
1.0117188, -0.0322266, -0.1176758, -7.8048782, -10.4268293, 5.2439027, -0.0426337
1.0083008, -0.0292969, -0.1157227, -9.0853662, -10.060976, 5.609756, -0.0473335
1.0019531, -0.0332031, -0.1074219, -11.8902445, -9.5121956, 5.670732, -0.0459907
0.9975586, -0.03125, -0.0996094, -13.2317076, -9.3292685, 5.9756098, -0.0473335
0.9931641, -0.0322266, -0.0917969, -15.5487804, -9.1463413, 5.9756098, -0.0476692
0.9873047, -0.0351562, -0.0864258, -16.5243912, -9.4512196, 6.0975609, -0.0463264
0.9755859, -0.0419922, -0.0766602, -17.8658543, -10.1829271, 6.4024391, -0.0459907
0.9731445, -0.0566406, -0.0698242, -18.1707325, -11.1585369, 6.4634147, -0.0506905
0.972168, -0.065918, -0.0688477, -17.9268303, -11.4634151, 6.5853658, -0.0473335
0.9760742, -0.0766602, -0.0717773, -16.7682934, -12.560976, 6.9512196, -0.0453193
0.9790039, -0.0834961, -0.0727539, -16.280489, -13.2317076, 6.8292685, -0.0466621
0.9848633, -0.0932617, -0.0761719, -15.1829271, -14.0243902, 7.2560978, -0.0473335
0.9858398, -0.0966797, -0.0756836, -15, -13.9634151, 7.5609756, -0.0473335
1.0039062, -0.1025391, -0.0795898, -13.9024391, -14.1463413, 7.8048782, -0.0493477
1.0068359, -0.1020508, -0.0771484, -13.2926836, -13.841464, 8.0487804, -0.0506905
1.0200195, -0.0927734, -0.0717773, -12.3780489, -13.3536587, 7.9268293, -0.0513619
1.0258789, -0.09375, -0.0708008, -11.4024391, -12.9268293, 7.9268293, -0.0500191
1.0273438, -0.081543, -0.0678711, -9.3292685, -11.7073174, 7.2560978, -0.0463264
1.0302734, -0.065918, -0.0620117, -6.5243902, -10.6097565, 6.5853658, -0.0486763
1.03125, -0.0576172, -0.0615234, -5.3658538, -10.1219511, 6.3414636, -0.0476692
1.0200195, -0.0507812, -0.0664062, -2.7439024, -9.1463413, 5.2439027, -0.0473335
1.0209961, -0.0488281, -0.0683594, -1.8902439, -9.0243902, 4.9390244, -0.0486763
1.0117188, -0.0395508, -0.0771484, -1.0365853, -8.1707315, 4.3292685, -0.0500191
1.0068359, -0.0400391, -0.0849609, -0.8536586, -8.2317076, 4.2073174, -0.0513619
0.9941406, -0.0395508, -0.0883789, -1.2195122, -7.5, 3.7195122, -0.0500191
0.9892578, -0.0419922, -0.0966797, -1.6463414, -7.5, 3.7195122, -0.0459907
0.9750977, -0.0380859, -0.1049805, -3.3536587, -6.7073174, 3.7195122, -0.0486763
0.965332, -0.0419922, -0.1054688, -4.4512196, -6.4634147, 3.9634147, -0.0459907
0.9506836, -0.0478516, -0.109375, -7.1341467, -7.0731707, 4.2073174, -0.0446479
0.9477539, -0.0561523, -0.1118164, -9.5121956, -8.5975609, 4.8780489, -0.0459907
0.940918, -0.0600586, -0.112793, -11.0365858, -9.4512196, 4.8170733, -0.0446479
0.9438477, -0.0688477, -0.1137695, -13.5365858, -11.4634151, 5.7926831, -0.0453193
0.9501953, -0.0717773, -0.1157227, -13.9634151, -12.3170738, 6.2195125, -0.0473335
