Application:, Trigno Discover (1.6.5)
Date/Time:, 18/02/2025 17:18:31
Collection Length (seconds):, 39.2175
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-0.6586914, 0.7128906, -0.2685547, -10.9146347, -14.9390249, -1.5243902, -0.0129244
-0.6572266, 0.7138672, -0.2724609, -10.7926836, -15, -1.2804878, -0.0162814
-0.6660156, 0.7197266, -0.2739258, -10.7317076, -15.2439032, -1.0365853, -0.0196384
-0.6645508, 0.722168, -0.2724609, -10.6707315, -15.6097565, -1.0365853, -0.0236667
-0.6645508, 0.7294922, -0.2685547, -10.8536587, -15.7317076, -1.4634147, -0.026688
-0.6630859, 0.7421875, -0.2661133, -11.280488, -15.7317076, -1.7682927, -0.027863
-0.6616211, 0.7446289, -0.2666016, -10.9146347, -15.9756098, -1.7073171, -0.0298772
-0.6508789, 0.7451172, -0.2705078, -10.8536587, -16.4024391, -1.7682927, -0.0273594
-0.6464844, 0.7436523, -0.2700195, -10.8536587, -17.0121956, -1.5853659, -0.0250095
-0.644043, 0.7387695, -0.2709961, -11.219512, -16.9512196, -1.6463414, -0.023331
-0.644043, 0.7387695, -0.2695312, -12.1341467, -16.2195129, -1.7682927, -0.0146029
-0.640625, 0.7363281, -0.2612305, -12.2560978, -15.9146347, -2.1341465, -0.0092317
-0.6464844, 0.7368164, -0.2602539, -12.9268293, -15.1829271, -2.9878049, -0.0070497
-0.6547852, 0.7348633, -0.2612305, -13.2317076, -14.7560978, -2.8658538, -0.0043641
-0.6591797, 0.7412109, -0.2626953, -13.1707315, -14.8170738, -2.5609756, -0.0048676
-0.6635742, 0.7509766, -0.2680664, -12.6829271, -14.8170738, -2.195122, -0.0045319
-0.6655273, 0.7597656, -0.2705078, -12.7439032, -14.9390249, -2.1341465, -0.0062104
-0.6645508, 0.7578125, -0.2719727, -12.8658543, -15, -2.195122, -0.0068818
-0.6674805, 0.7519531, -0.2636719, -13.1097565, -15.1219511, -2.3780489, -0.0090639
-0.6601562, 0.7470703, -0.2617188, -12.9878054, -14.6951227, -2.6219513, -0.0149386
-0.6616211, 0.7416992, -0.2597656, -13.0487804, -14.3292685, -2.6219513, -0.0172885
-0.6577148, 0.7412109, -0.265625, -12.7439032, -14.5121956, -2.3780489, -0.0209812
-0.6572266, 0.7392578, -0.2709961, -12.6219511, -14.5731707, -1.8902439, -0.0219883
-0.6503906, 0.7368164, -0.2744141, -12.7439032, -15.2439032, -1.6463414, -0.0250095
-0.6489258, 0.7368164, -0.2773438, -12.7439032, -14.7560978, -1.8292683, -0.0270237
-0.6455078, 0.737793, -0.2768555, -12.9878054, -14.8780489, -2.1341465, -0.0283665
-0.6425781, 0.7402344, -0.2851562, -13.2317076, -14.5731707, -2.2560976, -0.030045
-0.6469727, 0.7460938, -0.2880859, -12.9878054, -14.8170738, -2.1341465, -0.0297093
-0.6518555, 0.7529297, -0.2905273, -12.8658543, -15.7926836, -2.0121951, -0.0253452
-0.6416016, 0.7636719, -0.293457, -12.8048782, -16.1585369, -1.9512196, -0.0243381
-0.6357422, 0.7651367, -0.2929688, -13.2926836, -16.8902435, -2.0121951, -0.0226596
-0.6235352, 0.7641602, -0.2880859, -13.9634151, -17.0121956, -2.0731707, -0.0182956
-0.6210938, 0.7573242, -0.28125, -15, -16.280489, -2.7439024, -0.0152743
-0.6206055, 0.7451172, -0.2626953, -15.9146347, -16.1585369, -2.7439024, -0.0109102
-0.6240234, 0.7338867, -0.2558594, -16.9512196, -15.2439032, -3.2926829, -0.0068818
-0.628418, 0.7163086, -0.2363281, -16.8902435, -14.9390249, -3.1097562, -0.0041962
-0.6303711, 0.7109375, -0.2348633, -17.0731716, -14.6341467, -3.3536587, -0.0082246
-0.6420898, 0.6982422, -0.230957, -16.0975609, -14.0853662, -3.1097562, -0.0082246
-0.6469727, 0.7006836, -0.2299805, -15.4878054, -14.1463413, -3.1097562, -0.0092317
-0.6542969, 0.7055664, -0.2348633, -14.3902445, -14.6951227, -2.9268293, -0.011078
-0.6547852, 0.7216797, -0.2397461, -13.9634151, -15.060976, -2.6219513, -0.012253
-0.6542969, 0.7304688, -0.246582, -13.0487804, -15.6097565, -1.8902439, -0.0146029
-0.6508789, 0.7446289, -0.2539062, -12.6829271, -16.4024391, -1.5853659, -0.0146029
-0.6425781, 0.7480469, -0.2592773, -12.8658543, -15.7926836, -1.402439, -0.012253
-0.6264648, 0.7407227, -0.262207, -13.1097565, -15.2439032, -1.2195122, -0.01561
-0.6274414, 0.7402344, -0.2612305, -13.9024391, -13.9024391, -1.7073171, -0.0182956
-0.6357422, 0.7299805, -0.2641602, -14.8780489, -12.5, -2.2560976, -0.0223239
-0.6386719, 0.7270508, -0.2670898, -14.9390249, -12.0731707, -2.3780489, -0.0196384
-0.6450195, 0.7285156, -0.2612305, -15.060976, -11.8292685, -2.0121951, -0.0209812
-0.6523438, 0.7304688, -0.2539062, -15.060976, -11.8292685, -1.8902439, -0.01561
-0.6503906, 0.7319336, -0.2568359, -14.9390249, -12.0121956, -1.5853659, -0.0109102
-0.6469727, 0.7353516, -0.2529297, -14.8170738, -11.8902445, -1.6463414, -0.0152743
-0.644043, 0.7348633, -0.2529297, -14.0853662, -11.8902445, -1.402439, -0.01561
-0.6381836, 0.7348633, -0.2485352, -13.780488, -11.7073174, -1.3414634, -0.0157778
