Application:, Trigno Discover (1.6.5)
Date/Time:, 29/01/2025 16:08:04
Collection Length (seconds):, 41.9985
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9243164, -0.3256836, 0.1831055, -12.560976, -8.5975609, 2.5, -0.0379339
0.9204102, -0.3256836, 0.1875, -12.7439032, -8.5365858, 2.1341465, -0.0406195
0.9179688, -0.3271484, 0.1826172, -12.6219511, -8.4756098, 2.3780489, -0.0433051
0.9199219, -0.3222656, 0.1821289, -12.5, -8.780488, 2.4390244, -0.0439765
0.9155273, -0.3286133, 0.1835938, -12.4390249, -9.0243902, 2.0731707, -0.0486763
0.9223633, -0.3217773, 0.1850586, -12.560976, -8.9634151, 2.2560976, -0.0540475
0.9208984, -0.3217773, 0.184082, -12.2560978, -8.780488, 2.4390244, -0.0473335
0.918457, -0.3227539, 0.184082, -12.0731707, -8.719512, 2.3170731, -0.0433051
0.9135742, -0.3188477, 0.1875, -11.8292685, -8.6585369, 2.2560976, -0.0406195
0.9135742, -0.3198242, 0.1831055, -12.1341467, -8.6585369, 2.5, -0.0399481
0.9140625, -0.3183594, 0.1806641, -12.0731707, -8.9024391, 2.6219513, -0.0392767
0.9116211, -0.3188477, 0.1787109, -11.9512196, -9.2682924, 3.0487804, -0.0406195
0.9130859, -0.3134766, 0.1777344, -12.0731707, -8.780488, 2.8658538, -0.0419623
0.9145508, -0.3110352, 0.1791992, -12.1341467, -8.6585369, 2.9268293, -0.035584
0.9160156, -0.3144531, 0.1772461, -12.3780489, -8.9024391, 3.0487804, -0.0386053
0.9130859, -0.3173828, 0.1767578, -12.560976, -8.9634151, 3.2926829, -0.0433051
0.9135742, -0.3173828, 0.1821289, -12.4390249, -8.841464, 3.3536587, -0.0392767
0.9135742, -0.3173828, 0.1811523, -12.560976, -8.9634151, 3.2926829, -0.0298772
0.9160156, -0.3168945, 0.1816406, -12.3780489, -8.9024391, 2.9268293, -0.0298772
0.9130859, -0.3168945, 0.1811523, -12.1341467, -9.1463413, 3.0487804, -0.0379339
0.9165039, -0.3178711, 0.1806641, -11.6463413, -8.841464, 3.1707318, -0.0352483
0.9160156, -0.3178711, 0.1791992, -11.7682934, -9.0243902, 3.4146342, -0.0392767
0.9174805, -0.3183594, 0.1787109, -11.8292685, -8.9634151, 3.1097562, -0.0419623
0.9121094, -0.3212891, 0.1791992, -11.5853662, -8.9024391, 2.9878049, -0.0386053
0.9111328, -0.3203125, 0.1782227, -11.4024391, -8.9634151, 2.804878, -0.0379339
0.9135742, -0.3168945, 0.1772461, -11.4634151, -8.9024391, 2.6829269, -0.0365911
0.9150391, -0.3193359, 0.1777344, -11.4024391, -8.841464, 2.5609756, -0.0379339
0.9179688, -0.3168945, 0.1801758, -10.7317076, -9.0243902, 2.4390244, -0.0352483
0.9111328, -0.3149414, 0.1801758, -11.0365858, -9.1463413, 2.3170731, -0.0369268
0.9072266, -0.3134766, 0.1791992, -10.7317076, -9.2073174, 2.3170731, -0.0379339
0.9072266, -0.3134766, 0.1806641, -10.7926836, -9.0243902, 2.4390244, -0.0339055
0.9091797, -0.309082, 0.1816406, -10.9756098, -8.9024391, 2.2560976, -0.0399481
0.9106445, -0.3125, 0.1801758, -10.9756098, -9.1463413, 2.3170731, -0.0439765
0.9111328, -0.3125, 0.1796875, -11.0975609, -9.2073174, 2.3170731, -0.0412909
0.90625, -0.3110352, 0.1791992, -11.0365858, -9.3902445, 2.2560976, -0.0412909
0.9086914, -0.309082, 0.1767578, -11.341464, -9.2682924, 2.195122, -0.0433051
0.9145508, -0.3134766, 0.1772461, -11.0365858, -9.3902445, 2.195122, -0.0439765
0.9111328, -0.3134766, 0.1801758, -10.9756098, -9.3292685, 2.0731707, -0.0359197
0.9082031, -0.3076172, 0.1767578, -11.4634151, -9.3902445, 1.8902439, -0.0392767
0.9086914, -0.3100586, 0.1762695, -11.5853662, -8.841464, 1.5853659, -0.0433051
0.9101562, -0.3085938, 0.1728516, -11.7682934, -8.719512, 2.195122, -0.0486763
0.9101562, -0.3095703, 0.1757812, -11.7682934, -8.9024391, 2.0731707, -0.0500191
0.90625, -0.3129883, 0.1733398, -11.8292685, -8.9024391, 1.8902439, -0.0513619
0.9125977, -0.3139648, 0.1713867, -12.0731707, -9.2073174, 2.2560976, -0.0500191
0.9121094, -0.3144531, 0.171875, -12.6219511, -9.2682924, 2.0731707, -0.0533761
0.9106445, -0.3105469, 0.1772461, -12.4390249, -9.3292685, 2.0731707, -0.0513619
0.9111328, -0.3144531, 0.1762695, -12.560976, -9.2682924, 2.1341465, -0.0500191
0.9150391, -0.3168945, 0.1772461, -12.3780489, -9.2073174, 1.8902439, -0.0459907
0.9145508, -0.3222656, 0.1772461, -12.7439032, -9.2682924, 1.8292683, -0.0446479
0.9150391, -0.3227539, 0.1816406, -12.8048782, -9.0243902, 2.195122, -0.0392767
0.9145508, -0.3208008, 0.1767578, -12.560976, -9.1463413, 1.9512196, -0.0412909
0.9169922, -0.3227539, 0.1782227, -12.7439032, -9.0853662, 2.0121951, -0.0433051
0.9145508, -0.3217773, 0.1791992, -12.8048782, -9.2073174, 1.9512196, -0.0433051
0.9169922, -0.3203125, 0.1772461, -12.6219511, -8.841464, 2.3170731, -0.0433051
0.9121094, -0.3266602, 0.1748047, -12.560976, -8.719512, 1.8902439, -0.0412909
