Application:, Trigno Discover (1.6.5)
Date/Time:, 29/01/2025 16:34:36
Collection Length (seconds):, 37.449
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.972168, -0.1352539, -0.2739258, -11.9512196, -10.9146347, 7.8658538, -0.0446479
0.9731445, -0.1401367, -0.2719727, -12.5, -10.5487804, 7.6219516, -0.0459907
0.9775391, -0.1538086, -0.2734375, -12.3780489, -10.4878054, 7.6219516, -0.0463264
0.9702148, -0.1655273, -0.2739258, -12.4390249, -10.2439022, 8.2926826, -0.0553902
0.9624023, -0.1762695, -0.2641602, -11.7682934, -10.2439022, 8.4756098, -0.0621042
0.9589844, -0.1811523, -0.2597656, -11.219512, -10.2439022, 8.5365858, -0.0681468
0.9501953, -0.1879883, -0.2612305, -9.8780489, -9.7560978, 8.2926826, -0.0762036
0.949707, -0.1884766, -0.2597656, -9.5731707, -9.9390249, 8.1707315, -0.0835889
0.9443359, -0.1982422, -0.2543945, -8.719512, -10.3048782, 7.8658538, -0.0970169
0.9462891, -0.2036133, -0.2539062, -8.0487804, -10.7317076, 7.9268293, -0.1050736
0.9428711, -0.2026367, -0.2612305, -7.1341467, -10.3658543, 7.8048782, -0.1077592
0.9370117, -0.199707, -0.2788086, -7.1341467, -10.2439022, 7.9268293, -0.1050736
0.9355469, -0.1958008, -0.2807617, -6.890244, -10.6707315, 8.1707315, -0.0997024
0.9433594, -0.1791992, -0.2763672, -6.5853658, -10.9756098, 8.1707315, -0.0889601
0.9536133, -0.171875, -0.2729492, -5.9146342, -11.0975609, 7.9268293, -0.0795605
0.9624023, -0.1513672, -0.2739258, -5.670732, -10.9756098, 7.9878049, -0.0694896
0.965332, -0.1435547, -0.2749023, -5.3048782, -10.8536587, 7.8048782, -0.0547189
0.9746094, -0.1352539, -0.2753906, -6.0365853, -10.9756098, 7.8048782, -0.0446479
0.9780273, -0.1386719, -0.2749023, -6.0975609, -11.0975609, 8.1707315, -0.0379339
0.9790039, -0.1430664, -0.2758789, -6.6463418, -10.9146347, 8.780488, -0.0251774
0.9775391, -0.1450195, -0.2753906, -6.7073174, -10.5487804, 8.9634151, -0.011078
0.972168, -0.1489258, -0.2744141, -7.4390244, -10.6097565, 9.8780489, 0.0023499
0.956543, -0.1416016, -0.2797852, -7.5609756, -10.2439022, 9.8780489, 0.0083925
0.9545898, -0.144043, -0.2802734, -7.3780489, -10.3658543, 9.9390249, 0.0127565
0.9526367, -0.1503906, -0.2841797, -7.5, -10.4878054, 9.8780489, 0.0090639
0.9560547, -0.1542969, -0.2871094, -7.1951222, -10.8536587, 9.3902445, 0.0036927
0.9624023, -0.1708984, -0.2915039, -7.2560978, -10.7926836, 9.5121956, -0.0043641
0.9609375, -0.1704102, -0.2885742, -7.3170733, -10.9756098, 9.5731707, -0.0137636
0.9545898, -0.168457, -0.2822266, -6.7073174, -10.3658543, 9.9390249, -0.0204776
0.9545898, -0.1655273, -0.2783203, -6.4634147, -10.5487804, 10.3048782, -0.0251774
0.949707, -0.1538086, -0.2763672, -6.8292685, -10.5487804, 10.3658543, -0.0332341
0.9487305, -0.1464844, -0.2822266, -6.890244, -10.6097565, 10.2439022, -0.0392767
0.9555664, -0.140625, -0.2875977, -7.7439027, -10.7317076, 10.3048782, -0.0392767
0.9472656, -0.1523438, -0.2880859, -8.2317076, -10.8536587, 9.9390249, -0.0339055
0.9482422, -0.1591797, -0.2861328, -9.0243902, -10.8536587, 9.8780489, -0.0332341
0.9492188, -0.1660156, -0.2788086, -9.3292685, -10.9756098, 9.8170738, -0.0382696
0.9477539, -0.1723633, -0.2773438, -9.5731707, -11.280488, 10.1829271, -0.0459907
0.9526367, -0.1767578, -0.2729492, -9.5731707, -11.1585369, 10.1219511, -0.0463264
0.9536133, -0.1748047, -0.2724609, -9.2682924, -11.0975609, 10.3048782, -0.0439765
0.9594727, -0.1694336, -0.2700195, -8.9024391, -11.280488, 10.060976, -0.0473335
0.9609375, -0.1679688, -0.2724609, -8.780488, -11.4634151, 10.060976, -0.0446479
0.9643555, -0.1704102, -0.2758789, -8.719512, -11.5853662, 10, -0.0439765
0.9658203, -0.1723633, -0.2788086, -8.719512, -11.5243902, 10.1829271, -0.0520333
0.9575195, -0.1674805, -0.2788086, -8.780488, -11.280488, 10.4268293, -0.0513619
0.956543, -0.1713867, -0.2734375, -9.0853662, -11.4634151, 10.2439022, -0.0459907
0.9584961, -0.1699219, -0.2744141, -8.3536587, -12.0121956, 10.3048782, -0.0500191
0.9599609, -0.1738281, -0.2729492, -8.4146347, -12.0121956, 10.1829271, -0.0527047
0.9575195, -0.1748047, -0.2705078, -8.1097565, -12.0121956, 9.6951218, -0.0540475
0.9541016, -0.1835938, -0.2695312, -8.4146347, -12.3170738, 9.6951218, -0.0543832
0.9472656, -0.1816406, -0.2724609, -8.2926826, -12.1951218, 9.8170738, -0.0580758
0.9394531, -0.1850586, -0.262207, -7.9268293, -12.3780489, 10.6097565, -0.0584115
0.9375, -0.1870117, -0.2607422, -7.6829271, -12.9878054, 10.1219511, -0.0574044
0.9423828, -0.1889648, -0.2592773, -7.3780489, -13.1707315, 9.8780489, -0.0540475
0.940918, -0.1918945, -0.262207, -6.890244, -13.4146347, 9.8780489, -0.0527047
0.9331055, -0.1918945, -0.2719727, -6.8292685, -13.2317076, 9.6341467, -0.0553902
