Application:, Trigno Discover (1.6.5)
Date/Time:, 05/02/2025 10:31:36
Collection Length (seconds):, 36.99
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.8779297, -0.3129883, -0.4228516, -8.719512, -6.5243902, -2.0731707, -0.0384375
0.8779297, -0.3105469, -0.425293, -8.4756098, -6.8292685, -1.9512196, -0.0307164
0.8862305, -0.3125, -0.4204102, -8.2317076, -6.7073174, -1.8292683, -0.0260166
0.8925781, -0.3144531, -0.4140625, -7.9268293, -6.6463418, -1.8292683, -0.0229953
0.8979492, -0.3168945, -0.4086914, -7.6219516, -6.4634147, -1.8902439, -0.0243381
0.8999023, -0.3173828, -0.4018555, -7.5609756, -6.0365853, -1.9512196, -0.0276951
0.8974609, -0.3227539, -0.4003906, -7.1341467, -5.4268293, -1.9512196, -0.0243381
0.8886719, -0.3325195, -0.3984375, -6.8292685, -5.1829271, -1.9512196, -0.0340734
0.8852539, -0.3354492, -0.4033203, -6.6463418, -5.1219511, -2.0121951, -0.0438087
0.875, -0.3354492, -0.402832, -6.3414636, -5, -1.6463414, -0.0407874
0.8720703, -0.331543, -0.4003906, -5.9756098, -4.9390244, -1.7073171, -0.0345769
0.8671875, -0.3325195, -0.4018555, -5.3048782, -5.4878049, -1.8902439, -0.0209812
0.8686523, -0.3320312, -0.3994141, -5, -5.4878049, -2.0121951, -0.0209812
0.8637695, -0.3276367, -0.4023438, -5.1219511, -5.9146342, -2.0121951, -0.018967
0.8691406, -0.328125, -0.4145508, -5.4268293, -5.8536587, -1.9512196, -0.01561
0.8676758, -0.3256836, -0.4140625, -5.7926831, -5.7317076, -1.9512196, -0.0149386
0.8720703, -0.3251953, -0.4145508, -5.5487804, -5.7317076, -1.9512196, -0.018967
0.8735352, -0.315918, -0.4145508, -5.4268293, -5.670732, -1.9512196, -0.0313878
0.8833008, -0.3139648, -0.4082031, -5.2439027, -5.9756098, -1.9512196, -0.0357519
0.8837891, -0.3095703, -0.4106445, -5.5487804, -5.9756098, -2.0731707, -0.0391089
0.8847656, -0.3144531, -0.4169922, -6.5853658, -5.7317076, -2.2560976, -0.0337377
0.8818359, -0.3198242, -0.4179688, -7.2560978, -5.5487804, -2.5, -0.0263523
0.871582, -0.3276367, -0.4145508, -7.8048782, -5.2439027, -1.9512196, -0.0169528
0.8720703, -0.3325195, -0.4121094, -7.9268293, -5.2439027, -2.0121951, -0.0082246
0.8613281, -0.328125, -0.4116211, -7.4390244, -5.1829271, -1.9512196, -0.0035248
0.8588867, -0.3242188, -0.4155273, -7.2560978, -5.3658538, -2.1341465, 0.0063783
0.8588867, -0.3193359, -0.4208984, -7.6219516, -5.4878049, -1.9512196, 0.0139315
0.8588867, -0.3232422, -0.4267578, -8.2317076, -5.7317076, -1.6463414, 0.0226596
0.862793, -0.3251953, -0.4282227, -9.3292685, -5.9756098, -1.6463414, 0.0236667
0.8740234, -0.3217773, -0.418457, -9.6341467, -5.9146342, -1.4634147, 0.0159457
0.8769531, -0.3271484, -0.4111328, -9.9390249, -5.7926831, -1.097561, 0.0099031
0.8852539, -0.3188477, -0.4091797, -9.3292685, -5.4268293, -0.8536586, 0.0065461
0.8813477, -0.3149414, -0.4091797, -9.3292685, -5.4268293, -1.2195122, -0.0031891
0.8774414, -0.309082, -0.4150391, -10, -5.4268293, -1.2804878, -0.0203098
0.8740234, -0.3085938, -0.4204102, -10.4268293, -5.609756, -0.9146342, -0.0303807
0.8666992, -0.3095703, -0.4204102, -11.6463413, -5.9756098, -0.4268293, -0.0313878
0.8671875, -0.3115234, -0.4106445, -11.6463413, -5.9756098, -0.4268293, -0.0330663
0.8681641, -0.3076172, -0.409668, -12.0731707, -6.4024391, -0.4878049, -0.030045
0.8657227, -0.3129883, -0.4208984, -12.1951218, -5.9756098, -0.3658537, -0.0253452
0.8666992, -0.3208008, -0.4228516, -13.0487804, -6.0975609, 0.1829268, -0.0223239
0.8681641, -0.3325195, -0.4213867, -13.2926836, -6.2195125, 0.4878049, -0.018967
0.8710938, -0.3344727, -0.4179688, -14.1463413, -6.0975609, 0.2439024, -0.01561
0.8701172, -0.3374023, -0.4121094, -13.841464, -5.8536587, 0.6097561, -0.0075532
0.8745117, -0.3320312, -0.4082031, -13.2926836, -5.9146342, 0.7317073, -0.0095674
0.8789062, -0.3154297, -0.4086914, -12.2560978, -5.609756, 0.1829268, -0.0182956
0.8847656, -0.3139648, -0.4130859, -12.1951218, -5.9146342, -0.0609756, -0.0256809
0.8852539, -0.3139648, -0.4179688, -12.8658543, -5.9756098, 0, -0.0337377
0.890625, -0.3105469, -0.4165039, -13.7195129, -5.670732, 0.1829268, -0.0370947
0.8862305, -0.309082, -0.4155273, -14.0853662, -5.4878049, 0.4878049, -0.0297093
0.8798828, -0.3071289, -0.4165039, -14.3292685, -5.2439027, 0.7317073, -0.0303807
0.8793945, -0.3081055, -0.4204102, -14.3902445, -5.1829271, 1.402439, -0.0229953
0.8813477, -0.3139648, -0.4248047, -14.5731707, -5.3658538, 1.2804878, -0.0196384
0.8818359, -0.3242188, -0.425293, -15, -5.609756, 1.0365853, -0.0206455
0.8857422, -0.3374023, -0.4160156, -15.2439032, -5.3658538, 0.9146342, -0.0218204
0.8847656, -0.3383789, -0.4116211, -14.8170738, -5, 0.7317073, -0.0216526
0.8847656, -0.3305664, -0.3911133, -14.2682934, -4.2682929, 0.6097561, -0.017792
