Application:, Trigno Discover (1.6.5)
Date/Time:, 04/02/2025 15:35:16
Collection Length (seconds):, 27.1215
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-1.0273438, -0.0693359, -0.1894531, -39.5731735, -10.4878054, 2.9268293, -0.4919661
-1.0302734, -0.0766602, -0.184082, -38.841465, -11.0365858, 2.8658538, -0.4912947
-1.0273438, -0.0751953, -0.1582031, -36.8292694, -11.341464, 2.6219513, -0.5023728
-1.0234375, -0.0673828, -0.1455078, -35.6707344, -11.4634151, 2.7439024, -0.5047227
-1.0117188, -0.0395508, -0.1337891, -33.6585388, -10.1829271, 3.3536587, -0.4923018
-1.0039062, -0.0219727, -0.1381836, -32.3170738, -9.7560978, 3.1097562, -0.4825666
-0.9931641, 0.0024414, -0.1567383, -32.3170738, -9.5731707, 2.9268293, -0.5392996
-0.9858398, 0.0053711, -0.1738281, -33.4756088, -9.9390249, 2.9268293, -0.5461814
-0.9887695, -0.0029297, -0.1767578, -36.0365868, -10.6097565, 3.2926829, -0.5419852
-1.0029297, -0.012207, -0.1430664, -36.8292694, -10.8536587, 3.5365853, -0.56112
-1.0107422, -0.0180664, -0.1210938, -37.3170738, -10.9756098, 4.0243902, -0.5916686
-1.019043, -0.0458984, -0.1132812, -35.6097565, -10.6097565, 4.9390244, -0.595697
-1.0146484, -0.0629883, -0.1298828, -34.5731697, -9.7560978, 5.609756, -0.6551156
-1.027832, -0.1000977, -0.1694336, -33.9024391, -8.1707315, 6.7073174, -0.7219196
-1.0371094, -0.1181641, -0.1850586, -33.5365868, -7.9268293, 7.6219516, -0.7810025
-1.0527344, -0.144043, -0.190918, -32.0731697, -8.1097565, 8.841464, -0.8456245
-1.0546875, -0.1450195, -0.1884766, -30.6707325, -8.2317076, 9.4512196, -0.8954757
-1.0532227, -0.140625, -0.1772461, -25.5487804, -8.0487804, 10.4268293, -0.9327382
-1.0449219, -0.1074219, -0.1826172, -22.8048782, -8.1707315, 10.9146347, -0.9710079
-1.0371094, -0.0810547, -0.1879883, -17.9878044, -8.780488, 10.7926836, -1.067689
-1.0234375, -0.0273438, -0.1962891, -16.4024391, -9.3902445, 10.7926836, -1.1489281
-1.0141602, 0.0014648, -0.2006836, -16.2195129, -10.3048782, 10.4268293, -1.2110323
-0.9985352, 0.0400391, -0.1967773, -18.1097565, -11.7073174, 9.4512196, -1.2780041
-0.9951172, 0.0541992, -0.1899414, -19.939024, -12.7439032, 9.2073174, -1.3288624
-0.996582, 0.0629883, -0.1723633, -23.6585369, -13.9634151, 8.2926826, -1.3391012
-0.9980469, 0.0625, -0.1645508, -25.2439022, -14.2073174, 7.9268293, -1.3862669
-1.0024414, 0.0375977, -0.1611328, -27.8658543, -14.0853662, 7.7439027, -1.4594491
-1.0058594, 0.0253906, -0.1625977, -29.2682934, -14.0853662, 7.6829271, -1.4846265
-1.0136719, -0.0058594, -0.1630859, -30.7317085, -14.0853662, 7.5609756, -1.5087968
-1.0141602, -0.0366211, -0.1582031, -30.9146347, -14.1463413, 7.8048782, -1.5270924
-1.0175781, -0.046875, -0.1567383, -30.3658543, -13.9024391, 7.6829271, -1.5514305
-1.0205078, -0.0561523, -0.15625, -29.5731716, -13.7195129, 7.9878049, -1.5418631
-1.0180664, -0.0517578, -0.152832, -26.8902454, -13.780488, 8.0487804, -1.5114824
-1.0214844, -0.0458984, -0.1523438, -24.5731716, -13.9634151, 8.2317076, -1.4522316
-1.0161133, -0.0385742, -0.1538086, -24.0243912, -14.3292685, 8.1097565, -1.390631
-1.0092773, -0.0229492, -0.1474609, -23.7195129, -14.4512196, 7.6219516, -1.3711604
-1.0068359, -0.0161133, -0.1469727, -23.780489, -13.9024391, 7.3780489, -1.3030137
-1, -0.0009766, -0.1538086, -24.1463413, -13.3536587, 7.0121951, -1.2462806
-1.0009766, 0.0009766, -0.1552734, -25.060976, -13.4756098, 6.7073174, -1.2026398
-1.0087891, -0.0009766, -0.1660156, -26.4634151, -13.2317076, 6.2195125, -1.1633631
-1.0131836, -0.003418, -0.1733398, -26.8292694, -13.780488, 6.0975609, -1.1002518
-1.0131836, -0.0053711, -0.1723633, -27.9268303, -14.0853662, 6.4634147, -1.0495613
-1.0195312, -0.0126953, -0.1611328, -28.2926826, -14.5731707, 6.5243902, -0.9911498
-1.0195312, -0.0126953, -0.1572266, -27.9268303, -14.5731707, 5.9146342, -0.9072251
-1.0175781, -0.0107422, -0.1503906, -26.8292694, -14.2682934, 4.9390244, -0.8370642
-1.0151367, -0.012207, -0.1518555, -26.3414631, -14.1463413, 4.8780489, -0.7818418
-1.012207, -0.0083008, -0.1523438, -26.0365868, -13.9634151, 4.390244, -0.7215839
-1.0073242, -0.0087891, -0.1450195, -25.4878063, -14.0853662, 4.0243902, -0.6611582
-1, -0.0048828, -0.137207, -25.6097565, -13.5975609, 4.0243902, -0.6567941
-0.9990234, -0.0014648, -0.140625, -25.7926826, -13.1707315, 3.7804878, -0.6121462
-0.9926758, -0.0009766, -0.137207, -26.0975609, -12.5, 3.4146342, -0.5569238
-0.9897461, 0.0048828, -0.1459961, -26.6463413, -12.5, 3.7195122, -0.507744
-0.9887695, 0.003418, -0.1479492, -26.5243912, -12.1951218, 2.8658538, -0.4741741
-0.9941406, 0.0053711, -0.1582031, -26.8292694, -11.7682934, 2.6219513, -0.4179446
