Application:, Trigno Discover (1.6.5)
Date/Time:, 30/01/2025 09:36:12
Collection Length (seconds):, 35.775
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-1.0361328, 0.0742188, 0.0131836, -24.5121956, -8.1097565, 1.7682927, -0.0433051
-1.0336914, 0.09375, 0.0039062, -24.2682934, -8.1097565, 2.0731707, -0.0446479
-1.0273438, 0.1030273, 0.0014648, -24.0243912, -8.2926826, 2.3170731, -0.0439765
-1.0297852, 0.1206055, -0.0029297, -24.0853672, -8.6585369, 2.3170731, -0.0466621
-1.0219727, 0.1396484, -0.0048828, -24.0853672, -8.5975609, 2.195122, -0.0446479
-1.0170898, 0.1469727, -0.0078125, -24.6341476, -8.780488, 1.7682927, -0.0446479
-1.0219727, 0.1464844, -0.0126953, -24.8170738, -8.780488, 1.7073171, -0.0493477
-1.0195312, 0.1411133, -0.0112305, -25.3048782, -8.9024391, 1.5243902, -0.0533761
-1.0244141, 0.1254883, -0.0029297, -24.8170738, -9.2073174, 1.3414634, -0.0459907
-1.0273438, 0.1142578, -0.0043945, -24.9390259, -9.3902445, 1.097561, -0.0426337
-1.0302734, 0.1030273, -0.0117188, -25.2439022, -9.2073174, 0.9756098, -0.0433051
-1.0317383, 0.1000977, -0.0126953, -25.7926826, -9.9390249, 0.7317073, -0.0459907
-1.034668, 0.0942383, -0.0112305, -26.3414631, -9.7560978, 0.4878049, -0.0459907
-1.0351562, 0.0996094, -0.0136719, -26.6463413, -10.2439022, 0.3048781, -0.0433051
-1.0283203, 0.1054688, -0.0219727, -27.3780499, -10.6707315, 0.4878049, -0.0433051
-1.0131836, 0.1132812, -0.0244141, -28.1707325, -10.6707315, 0.6707317, -0.0473335
-1.0087891, 0.1171875, -0.0273438, -29.2073174, -11.280488, 0.5487805, -0.0386053
-1.0014648, 0.1201172, -0.0258789, -29.7560978, -11.5853662, 0.4878049, -0.0446479
-0.9980469, 0.1132812, -0.0234375, -30.1829281, -11.5243902, 0.3048781, -0.0459907
-0.9956055, 0.1064453, -0.0185547, -30.1829281, -10.9146347, 0.4878049, -0.0412909
-1, 0.0976562, -0.0180664, -30.6707325, -11.0975609, 0.2439024, -0.0426337
-1.003418, 0.078125, -0.0112305, -31.0365868, -11.4024391, 0.2439024, -0.0412909
-1.0048828, 0.0698242, -0.0073242, -30.4878063, -11.341464, 0.2439024, -0.0433051
-1.0102539, 0.0522461, 0.0009766, -30.060976, -11.5853662, 0.5487805, -0.0409552
-1.012207, 0.0439453, 0.0048828, -28.9634151, -11.7682934, 0.8536586, -0.0500191
-1.019043, 0.03125, 0.0078125, -27.3780499, -12.4390249, 1.7073171, -0.0500191
-1.0117188, 0.0297852, -0.0009766, -26.4634151, -12.1951218, 1.8902439, -0.0446479
-1.0136719, 0.03125, -0.0048828, -25.7926826, -12.8048782, 2.6829269, -0.0446479
-1.0107422, 0.0488281, -0.0141602, -24.9390259, -12.8658543, 2.6829269, -0.0433051
-1.0112305, 0.0600586, -0.0185547, -24.0243912, -13.2317076, 3.2317073, -0.0419623
-1.0068359, 0.081543, -0.0244141, -23.5365868, -13.0487804, 3.7195122, -0.0379339
-1.0053711, 0.0908203, -0.0258789, -23.4146347, -13.2926836, 4.2073174, -0.0419623
-1.0009766, 0.1044922, -0.0292969, -23.8414631, -13.2317076, 4.5731707, -0.0446479
-0.9946289, 0.1103516, -0.0258789, -24.6951218, -13.2926836, 4.5121951, -0.0406195
-0.9970703, 0.121582, -0.0170898, -24.9390259, -13.4756098, 4.0243902, -0.0473335
-1.003418, 0.1186523, -0.0087891, -25.2439022, -14.0243902, 3.7804878, -0.0453193
-0.9995117, 0.1162109, -0.0117188, -24.9390259, -13.9634151, 4.0243902, -0.0439765
-0.9985352, 0.1079102, -0.0136719, -25.1829281, -14.0853662, 4.0243902, -0.0433051
-0.9970703, 0.1020508, -0.0151367, -25.3658543, -14.8780489, 3.4756098, -0.0473335
-0.9941406, 0.09375, -0.0205078, -25.5487804, -15.1829271, 3.6585367, -0.0500191
-0.9873047, 0.0888672, -0.0205078, -25.9756107, -15.1219511, 3.5365853, -0.0480049
-0.9848633, 0.0869141, -0.0185547, -26.4024391, -15, 3.7195122, -0.0439765
-0.9848633, 0.0898438, -0.0175781, -27.1341476, -14.6341467, 3.7195122, -0.0386053
-0.9838867, 0.0942383, -0.0097656, -27.0121956, -14.5731707, 3.9024391, -0.0379339
-0.9829102, 0.0942383, -0.0063477, -26.8292694, -14.3292685, 4.1463413, -0.0352483
-0.9853516, 0.0927734, 0.0029297, -26.6463413, -14.2682934, 4.3292685, -0.0359197
-0.9892578, 0.090332, -0.0004883, -26.2195129, -13.9634151, 4.2073174, -0.0453193
-0.9907227, 0.0849609, -0.0024414, -26.280489, -13.7195129, 3.9024391, -0.0493477
-0.9990234, 0.0800781, -0.0063477, -26.2195129, -13.6585369, 3.9024391, -0.0453193
-1.0004883, 0.0878906, -0.0092773, -26.6463413, -13.4756098, 4.1463413, -0.0446479
-0.9980469, 0.0947266, -0.0112305, -26.8292694, -13.3536587, 4.1463413, -0.0473335
-0.9926758, 0.097168, -0.012207, -26.9512196, -13.2926836, 4.4512196, -0.0439765
-0.9882812, 0.1074219, -0.0092773, -27.3170738, -13.4756098, 4.7560978, -0.0419623
-0.9882812, 0.1074219, -0.0136719, -27.9268303, -13.4146347, 4.5731707, -0.0459907
