Application:, Trigno Discover (1.6.5)
Date/Time:, 12/02/2025 16:42:53
Collection Length (seconds):, 37.7595
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9584961, -0.1875, -0.2290039, -27.4390259, -10.3048782, 6.0365853, -0.0130922
0.96875, -0.1826172, -0.2290039, -27.6219521, -9.8170738, 5.4878049, -0.0129244
0.9804688, -0.1826172, -0.2241211, -26.8292694, -9.5121956, 4.9390244, -0.0130922
0.9853516, -0.1801758, -0.2172852, -25.7926826, -8.6585369, 4.2682929, -0.0129244
0.9775391, -0.1762695, -0.2133789, -25.1219521, -8.2317076, 3.9634147, -0.0124208
0.972168, -0.1787109, -0.2114258, -24.9390259, -8.1707315, 4.1463413, -0.0149386
0.9702148, -0.1787109, -0.2045898, -25.060976, -8.780488, 4.1463413, -0.0162814
0.9736328, -0.1816406, -0.1958008, -25.1219521, -8.6585369, 4.2682929, -0.0164492
0.9692383, -0.175293, -0.190918, -24.2682934, -8.5975609, 4.1463413, -0.0223239
0.9746094, -0.1728516, -0.1918945, -23.5365868, -8.5365858, 4.0853658, -0.0250095
0.9648438, -0.168457, -0.2041016, -22.6829281, -8.6585369, 3.8414636, -0.0251774
0.965332, -0.1630859, -0.2109375, -22.560976, -8.5365858, 3.6585367, -0.0246738
0.9750977, -0.1542969, -0.2197266, -22.6219521, -8.2317076, 3.5365853, -0.0273594
0.9824219, -0.1577148, -0.2255859, -22.5, -8.1097565, 3.4146342, -0.0297093
0.9863281, -0.1533203, -0.2216797, -22.8658543, -8.0487804, 2.9268293, -0.0293736
0.9946289, -0.1542969, -0.2128906, -22.5, -7.2560978, 2.5609756, -0.03122
0.9907227, -0.159668, -0.2099609, -22.5, -7.2560978, 2.195122, -0.0352483
0.9790039, -0.1689453, -0.2124023, -22.6219521, -7.0731707, 2.6829269, -0.0386053
0.9692383, -0.1708984, -0.2119141, -22.3170738, -7.1951222, 3.1707318, -0.0431373
0.9624023, -0.1738281, -0.215332, -22.0731716, -7.4390244, 3.3536587, -0.0357519
0.9638672, -0.1733398, -0.215332, -21.4024391, -7.7439027, 3.2317073, -0.0370947
0.9726562, -0.1796875, -0.2148438, -21.0365868, -7.3780489, 2.2560976, -0.0381018
0.9731445, -0.1791992, -0.2138672, -20.8536587, -7.3170733, 1.9512196, -0.0424659
0.9731445, -0.1821289, -0.2050781, -19.8170738, -7.0121951, 1.5243902, -0.0421302
0.9770508, -0.1723633, -0.2016602, -19.6341476, -7.0731707, 1.4634147, -0.0414588
0.9790039, -0.1713867, -0.1972656, -19.4512196, -7.1341467, 1.2195122, -0.0394446
0.9726562, -0.1733398, -0.1865234, -19.2073174, -6.9512196, 0.6097561, -0.0344091
0.972168, -0.1743164, -0.1855469, -18.9634151, -7.3780489, 0.5487805, -0.0317235
0.9584961, -0.1733398, -0.190918, -18.0487804, -7.8658538, 0.9146342, -0.0287022
0.9589844, -0.171875, -0.1967773, -17.6219521, -8.1707315, 1.3414634, -0.0293736
0.9663086, -0.1699219, -0.2055664, -17.2560978, -7.9878049, 1.4634147, -0.0350805
0.9663086, -0.171875, -0.2094727, -17.439024, -7.8048782, 1.1585366, -0.0379339
0.9741211, -0.1772461, -0.2001953, -17.2560978, -7.8658538, 0.4878049, -0.0381018
0.9755859, -0.175293, -0.1953125, -16.8292694, -7.9268293, 0.3658537, -0.0344091
0.96875, -0.1816406, -0.2006836, -16.3414631, -8.1097565, 0.3048781, -0.0345769
0.9526367, -0.1757812, -0.2124023, -15.9756098, -8.2317076, 0.4268293, -0.0370947
0.9506836, -0.1674805, -0.2133789, -15.9146347, -8.2317076, 0.8536586, -0.0345769
0.9506836, -0.1474609, -0.2094727, -15.7317076, -8.3536587, 0.9146342, -0.0313878
0.9536133, -0.1357422, -0.2026367, -15.5487804, -8.4756098, 0.4268293, -0.0270237
0.9589844, -0.1166992, -0.1953125, -15.1219511, -7.8048782, -0.3658537, -0.0149386
0.9628906, -0.1162109, -0.2036133, -15.4878054, -8.1707315, -0.4268293, -0.0045319
0.9624023, -0.1240234, -0.2138672, -16.9512196, -9.0243902, -0.1219512, -0.0015106
0.965332, -0.1323242, -0.2158203, -17.8658543, -9.6341467, 0.4268293, 0.0031891
0.9643555, -0.1557617, -0.2099609, -19.1463413, -10.5487804, 1.1585366, 0.0018463
0.9663086, -0.1660156, -0.203125, -19.2073174, -10.9756098, 1.2804878, 0.0052033
0.9648438, -0.1674805, -0.1967773, -18.2926826, -10.7926836, 0.6097561, 0.0104067
0.9550781, -0.1665039, -0.1943359, -17.6829281, -10.9756098, 0.2439024, 0.0104067
0.9477539, -0.1645508, -0.1953125, -16.5853653, -10.7317076, -0.1829268, 0.012253
0.9516602, -0.1582031, -0.1928711, -16.0365849, -11.1585369, -0.3658537, 0.0112459
0.9477539, -0.1547852, -0.1899414, -15.4878054, -11.280488, -0.3048781, 0.0102388
0.9453125, -0.1523438, -0.1918945, -14.6951227, -11.8292685, -0.7317073, 0.0058747
0.9462891, -0.1518555, -0.1953125, -14.3292685, -11.8292685, -0.9756098, 0.0011749
0.9418945, -0.1606445, -0.2041016, -13.1707315, -12.9268293, -1.402439, 0.0011749
0.9379883, -0.1645508, -0.2099609, -12.8048782, -14.2073174, -1.2804878, 0.0001678
0.9365234, -0.1796875, -0.2026367, -11.280488, -15.7926836, -1.5853659, -0.0050355
