Application:, Trigno Discover (1.6.5)
Date/Time:, 05/02/2025 10:22:47
Collection Length (seconds):, 30.0915
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9526367, -0.1552734, -0.2675781, -27.2560978, -10.3048782, 4.2682929, 0.0669718
0.9604492, -0.1640625, -0.2714844, -29.8170738, -10.6707315, 5.3658538, 0.0869459
0.9794922, -0.1723633, -0.265625, -30.9756107, -10.5487804, 6.0975609, 0.1065843
0.984375, -0.1733398, -0.2583008, -30.9146347, -9.7560978, 6.1585369, 0.1203479
0.9887695, -0.1933594, -0.2519531, -30.6097565, -7.8048782, 5.7926831, 0.1273976
0.9848633, -0.2094727, -0.2504883, -31.0365868, -6.5243902, 5.7926831, 0.1206836
0.9677734, -0.25, -0.2397461, -32.0731697, -4.6341462, 6.2195125, 0.1136339
0.956543, -0.2641602, -0.230957, -32.0731697, -4.2073174, 6.6463418, 0.1025559
0.9443359, -0.2768555, -0.2021484, -31.0975609, -3.2926829, 6.7682929, 0.0908064
0.9350586, -0.2724609, -0.1855469, -29.7560978, -3.1097562, 6.4024391, 0.0882887
0.9287109, -0.2368164, -0.1713867, -26.7682934, -2.8658538, 5.3658538, 0.0817426
0.9350586, -0.2084961, -0.1879883, -25.7926826, -2.9878049, 4.8780489, 0.064622
0.9404297, -0.1982422, -0.2060547, -25.9756107, -4.5121951, 3.9634147, 0.0454871
0.9550781, -0.1787109, -0.2436523, -28.1707325, -5, 4.5731707, 0.0287022
0.9667969, -0.1723633, -0.2597656, -29.9390259, -5.1829271, 5.4268293, -0.0030213
0.987793, -0.1782227, -0.2666016, -32.1341476, -4.1463413, 6.7073174, -0.0270237
0.9926758, -0.1811523, -0.2636719, -32.9268303, -3.3536587, 7.7439027, -0.043473
0.9916992, -0.1811523, -0.2490234, -33.5975609, -1.7073171, 8.6585369, -0.0475013
0.9848633, -0.1782227, -0.2368164, -33.5365868, -0.6097561, 9.0853662, -0.047837
0.9589844, -0.184082, -0.2280273, -33.9024391, 0.7926829, 9.2682924, -0.0464942
0.949707, -0.1875, -0.2265625, -34.5731697, 1.0365853, 9.3292685, -0.0454871
0.9238281, -0.1962891, -0.2265625, -35.0609779, 0.6707317, 9.5731707, -0.0449836
0.9243164, -0.2109375, -0.2197266, -35.6707344, 0.4878049, 9.7560978, -0.0431373
0.9277344, -0.2124023, -0.2124023, -35.2439041, -0.0609756, 9.4512196, -0.0384375
0.9443359, -0.2290039, -0.1923828, -33.1707306, 0.2439024, 9.5731707, -0.0391089
0.9545898, -0.2319336, -0.1835938, -32.1951218, 0.5487805, 9.2073174, -0.0384375
0.9677734, -0.2382812, -0.1811523, -30.3658543, 1.097561, 8.719512, -0.0325628
0.965332, -0.2407227, -0.1791992, -29.5121956, 1.3414634, 8.5975609, -0.0283665
0.9736328, -0.2387695, -0.1782227, -27.9268303, 1.4634147, 8.2926826, -0.0384375
0.9711914, -0.2412109, -0.1816406, -27.6219521, 1.2804878, 8.2317076, -0.0527047
0.9692383, -0.2363281, -0.1894531, -27.2560978, 0.9756098, 8.2926826, -0.0555581
0.9682617, -0.2319336, -0.1914062, -26.9512196, 1.0365853, 7.8658538, -0.0542153
0.9697266, -0.2348633, -0.1943359, -26.2195129, 0.5487805, 7.6219516, -0.0503548
0.9604492, -0.2382812, -0.1977539, -26.2195129, 0.6097561, 7.1951222, -0.0446479
0.9594727, -0.2353516, -0.2011719, -26.280489, 0.4878049, 7.1951222, -0.0404517
0.953125, -0.2348633, -0.1987305, -26.1585369, 0.7317073, 6.890244, -0.0344091
0.9516602, -0.2397461, -0.190918, -26.0975609, 0.7926829, 6.7073174, -0.0424659
0.9482422, -0.2519531, -0.1811523, -25.7317085, 0.4268293, 6.5243902, -0.0552224
0.9458008, -0.2587891, -0.1782227, -25, 0.4268293, 6.1585369, -0.0619364
0.9375, -0.2587891, -0.1621094, -23.9024391, 0.3048781, 5.8536587, -0.064622
0.9379883, -0.2617188, -0.1538086, -22.8048782, 0.0609756, 5.670732, -0.0681468
0.9379883, -0.2519531, -0.1591797, -22.0731716, -0.1829268, 4.6951222, -0.0572366
0.9316406, -0.2460938, -0.168457, -21.7073174, -0.9146342, 4.2073174, -0.0392767
0.9291992, -0.2348633, -0.1884766, -21.7073174, -2.2560976, 4.1463413, -0.023331
0.9331055, -0.215332, -0.1870117, -21.5853672, -2.3780489, 4.2073174, 0.0006714
0.9433594, -0.2089844, -0.1791992, -20.7926826, -3.4756098, 3.4146342, 0.0169528
0.9536133, -0.2143555, -0.1665039, -20, -3.7195122, 2.6219513, 0.0253452
0.9521484, -0.2216797, -0.1591797, -19.6341476, -3.4756098, 2.2560976, 0.0243381
0.9521484, -0.2255859, -0.152832, -19.2073174, -3.9024391, 2.0731707, 0.0253452
0.9467773, -0.2290039, -0.1542969, -18.780489, -4.390244, 1.7682927, 0.0288701
0.9384766, -0.2314453, -0.1669922, -18.1707325, -4.9390244, 1.2195122, 0.023331
0.9282227, -0.2363281, -0.1728516, -17.9268303, -5.2439027, 0.9756098, 0.0132601
0.9233398, -0.2402344, -0.1791992, -17.560976, -6.5243902, 0.8536586, 0.0023499
0.9287109, -0.2363281, -0.1821289, -17.3170738, -6.5853658, 0.3658537, -0.0283665
0.934082, -0.2338867, -0.1699219, -16.4634151, -7.3170733, -0.1829268, -0.0740215
0.940918, -0.2231445, -0.1665039, -16.0365849, -7.3780489, -0.6707317, -0.1126268
