Application:, Trigno Discover (1.6.5)
Date/Time:, 18/02/2025 16:24:33
Collection Length (seconds):, 36.099
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-0.4921875, 0.7167969, -0.4462891, -22.3170738, -14.7560978, -11.5853662, -0.0441444
-0.5004883, 0.71875, -0.4570312, -21.7682934, -14.5121956, -11.7682934, -0.0488441
-0.5131836, 0.7285156, -0.4882812, -20.9756107, -14.2073174, -11.4634151, -0.064622
-0.5361328, 0.7299805, -0.5053711, -20.8536587, -13.9634151, -11.6463413, -0.0767071
-0.5595703, 0.7285156, -0.5029297, -21.4024391, -13.6585369, -13.1707315, -0.0837568
-0.5957031, 0.7290039, -0.4829102, -21.7682934, -15, -13.9024391, -0.0837568
-0.6103516, 0.7304688, -0.4726562, -21.3414631, -15.9146347, -13.4756098, -0.0649577
-0.6162109, 0.7280273, -0.4584961, -19.2073174, -17.560976, -12.1341467, -0.0330663
-0.6171875, 0.7202148, -0.4560547, -18.4146347, -18.2317085, -11.4634151, -0.0169528
-0.6108398, 0.7050781, -0.4746094, -17.0731716, -18.5365849, -10.1219511, -0.0253452
-0.6074219, 0.6972656, -0.4853516, -16.7073174, -18.3536587, -9.5731707, -0.0347448
-0.6103516, 0.6894531, -0.4833984, -15.6707325, -18.3536587, -8.4146347, -0.0471656
-0.6142578, 0.6967773, -0.4858398, -15.2439032, -18.9634151, -7.6219516, -0.0498512
-0.6147461, 0.7050781, -0.4775391, -14.5731707, -20.7317085, -7.0731707, -0.0468299
-0.6123047, 0.7099609, -0.46875, -13.841464, -22.3780499, -6.5853658, -0.0303807
-0.6083984, 0.71875, -0.4589844, -13.4756098, -23.0487804, -6.5243902, 0.0008392
-0.6025391, 0.7246094, -0.4487305, -12.560976, -23.7195129, -6.0365853, 0.0253452
-0.59375, 0.7250977, -0.449707, -11.9512196, -23.9634151, -5.1829271, 0.0377661
-0.5649414, 0.7358398, -0.4545898, -10.6097565, -24.0243912, -4.2073174, 0.0384375
-0.5512695, 0.737793, -0.4545898, -10.3658543, -24.2682934, -4.2073174, 0.0332341
-0.5385742, 0.7324219, -0.4570312, -10.8536587, -23.9634151, -5.1829271, 0.023331
-0.5415039, 0.7304688, -0.4614258, -11.1585369, -23.780489, -5.7926831, 0.0184634
-0.5424805, 0.734375, -0.4619141, -10.7926836, -23.4756107, -6.7073174, 0.0527047
-0.5537109, 0.7446289, -0.4643555, -10.3048782, -23.4146347, -6.6463418, 0.0847639
-0.550293, 0.7661133, -0.4814453, -9.5121956, -24.0243912, -6.4024391, 0.1072557
-0.5380859, 0.7758789, -0.4892578, -10.4878054, -24.2682934, -6.1585369, 0.0803998
-0.5371094, 0.7719727, -0.4882812, -11.0975609, -24.2073174, -6.7073174, 0.0209812
-0.5444336, 0.7456055, -0.4741211, -12.3780489, -24.0243912, -7.9268293, -0.0260166
-0.5478516, 0.7363281, -0.4633789, -12.5, -24.2073174, -8.5975609, -0.0639506
-0.565918, 0.722168, -0.4394531, -11.8902445, -24.4512196, -8.9634151, -0.082414
-0.5732422, 0.7250977, -0.4331055, -11.1585369, -24.6341476, -8.5365858, -0.0810712
-0.5717773, 0.7368164, -0.4311523, -9.6341467, -24.6951218, -7.6219516, -0.0721752
-0.5717773, 0.737793, -0.4345703, -9.5731707, -23.9634151, -6.8292685, -0.064622
-0.5585938, 0.7338867, -0.4536133, -9.6951218, -22.6829281, -6.4634147, -0.0619364
-0.5541992, 0.7246094, -0.4594727, -9.8780489, -21.8292694, -6.1585369, -0.0636149
-0.5649414, 0.7207031, -0.4658203, -9.5121956, -21.1585369, -6.2195125, -0.0686503
-0.5712891, 0.7280273, -0.4628906, -9.0243902, -22.0731716, -6.1585369, -0.0726787
-0.5742188, 0.7324219, -0.4575195, -8.9634151, -22.6829281, -6.3414636, -0.0800641
-0.581543, 0.737793, -0.449707, -9.0243902, -23.2926826, -6.7682929, -0.0914778
-0.5834961, 0.7338867, -0.4462891, -9.0243902, -22.7439022, -7.1341467, -0.0961776
-0.5878906, 0.7368164, -0.4453125, -9.1463413, -21.6463413, -6.8292685, -0.0904707
-0.5874023, 0.7373047, -0.4506836, -8.9634151, -21.280489, -6.7073174, -0.0726787
-0.5849609, 0.7431641, -0.4541016, -8.4146347, -20.8536587, -5.7926831, -0.0592508
-0.5795898, 0.7460938, -0.4550781, -8.1097565, -20.9146347, -5.9146342, -0.051194
-0.5830078, 0.7397461, -0.4516602, -8.2317076, -20.4878044, -6.3414636, -0.0552224
-0.5874023, 0.7387695, -0.4453125, -8.2926826, -20.4268303, -6.7073174, -0.064622
-0.59375, 0.7431641, -0.4350586, -7.5, -20.5487804, -6.2195125, -0.0753643
-0.5800781, 0.7441406, -0.4326172, -6.1585369, -20.6097565, -5.3048782, -0.0783856
-0.5751953, 0.7431641, -0.4345703, -5.9146342, -20.7317085, -5.0609756, -0.0827497
-0.5600586, 0.7397461, -0.4335938, -6.4634147, -20.060976, -5.1219511, -0.0877852
-0.5546875, 0.734375, -0.4326172, -6.7682929, -19.2682934, -5, -0.0783856
-0.5566406, 0.7299805, -0.4360352, -6.9512196, -18.4756107, -4.9390244, -0.0721752
-0.5532227, 0.7319336, -0.4394531, -7.0731707, -18.2317085, -4.6951222, -0.0647898
-0.5581055, 0.7412109, -0.4477539, -6.9512196, -17.6219521, -4.2682929, -0.051194
