Application:, Trigno Discover (1.6.5)
Date/Time:, 05/02/2025 17:14:37
Collection Length (seconds):, 42.0795
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9370117, -0.1367188, -0.3222656, -13.4146347, -4.9390244, 0.6097561, -0.0149386
0.9306641, -0.1416016, -0.3217773, -13.841464, -5.3048782, 0.6097561, -0.0149386
0.9301758, -0.1538086, -0.3203125, -13.780488, -5.5487804, 0.3658537, -0.017792
0.9272461, -0.1552734, -0.3203125, -13.2926836, -5.8536587, 0.7317073, -0.018967
0.9291992, -0.1503906, -0.324707, -13.0487804, -5.9146342, 1.097561, -0.017792
0.9277344, -0.1479492, -0.3266602, -12.6219511, -6.2195125, 0.9146342, -0.0162814
0.9350586, -0.1386719, -0.3359375, -13.1097565, -5.9146342, 0.9756098, -0.0090639
0.940918, -0.1323242, -0.3427734, -13.2926836, -5.9756098, 0.9146342, -0.0082246
0.9462891, -0.1254883, -0.3466797, -14.0853662, -6.280488, 1.2195122, -0.0072175
0.9536133, -0.1230469, -0.3569336, -14.2073174, -6.0975609, 1.1585366, -0.005539
0.9550781, -0.1201172, -0.3618164, -15.060976, -5.9756098, 1.2804878, -0.0028534
0.9599609, -0.1230469, -0.3676758, -15.5487804, -6.0365853, 1.5243902, -0.0035248
0.9575195, -0.1274414, -0.3686523, -16.0365849, -5.8536587, 1.5853659, 0.0020142
0.9604492, -0.1264648, -0.3647461, -16.0975609, -5.9146342, 1.5243902, 0.0015106
0.9589844, -0.1303711, -0.362793, -16.7682934, -5.3048782, 1.402439, -0.0062104
0.9472656, -0.1411133, -0.3491211, -17.2560978, -5.1219511, 1.402439, -0.018967
0.9487305, -0.1425781, -0.34375, -17.8048782, -4.8780489, 1.2195122, -0.0229953
0.9433594, -0.1547852, -0.3354492, -17.7439022, -5.1829271, 1.2804878, -0.012253
0.9389648, -0.1591797, -0.331543, -17.5, -4.8170733, 1.3414634, 0.0152743
0.9350586, -0.1606445, -0.3251953, -16.5853653, -4.8170733, 1.0365853, 0.0629435
0.9394531, -0.1582031, -0.3222656, -16.0975609, -5.2439027, 1.2195122, 0.1220264
0.9355469, -0.1572266, -0.3242188, -15.7317076, -5.0609756, 0.6707317, 0.1515679
0.9326172, -0.1508789, -0.3305664, -15.6707325, -5.1829271, 0.7926829, 0.1592889
0.9350586, -0.1469727, -0.3364258, -15.7317076, -5.0609756, 0.9756098, 0.1552605
0.9291992, -0.1508789, -0.3457031, -15.7317076, -4.9390244, 0.9146342, 0.1398184
0.9311523, -0.1459961, -0.3491211, -15.6707325, -5, 0.9146342, 0.0938277
0.9316406, -0.1484375, -0.355957, -15.2439032, -4.9390244, 1.0365853, 0.0488441
0.9355469, -0.1459961, -0.3613281, -15.1219511, -5.1829271, 1.0365853, 0.0226596
0.9423828, -0.152832, -0.3496094, -15.1219511, -5.1219511, 0.9146342, 0.0226596
0.9428711, -0.15625, -0.3417969, -15.1219511, -5.3048782, 1.0365853, 0.0406195
0.9433594, -0.1625977, -0.3217773, -14.8780489, -4.8170733, 0.8536586, 0.0193027
0.9331055, -0.1630859, -0.3149414, -14.4512196, -4.6951222, 1.0365853, 0.0062104
0.9301758, -0.1582031, -0.3095703, -14.0853662, -4.5121951, 1.3414634, 0.0146029
0.9208984, -0.1542969, -0.3173828, -13.6585369, -4.6341462, 1.1585366, 0.0303807
0.9199219, -0.1489258, -0.3251953, -13.7195129, -5.3658538, 1.402439, 0.0703288
0.9150391, -0.1450195, -0.3305664, -13.5365858, -5.670732, 1.7073171, 0.1265583
0.918457, -0.140625, -0.3330078, -13.5365858, -5.9146342, 1.7682927, 0.1190051
0.9296875, -0.1357422, -0.3291016, -13.2317076, -6.3414636, 1.6463414, 0.079057
0.9355469, -0.1357422, -0.3291016, -13.3536587, -6.7682929, 1.6463414, 0.0433051
0.9438477, -0.1391602, -0.331543, -13.3536587, -7.0121951, 1.2804878, 0.0045319
0.9462891, -0.1503906, -0.3364258, -13.9024391, -7.0121951, 0.8536586, -0.0263523
0.9467773, -0.1660156, -0.3530273, -14.3902445, -6.3414636, 1.097561, -0.0673075
0.9438477, -0.1689453, -0.3637695, -14.1463413, -6.2195125, 1.2195122, -0.0965133
0.9433594, -0.1708984, -0.3637695, -13.780488, -5.3658538, 1.402439, -0.1136339
0.9458008, -0.1601562, -0.3676758, -13.4146347, -5, 1.3414634, -0.1404898
0.9477539, -0.1586914, -0.3666992, -12.6219511, -4.6951222, 1.5243902, -0.173724
0.9526367, -0.1459961, -0.3588867, -12.6219511, -4.4512196, 1.5243902, -0.1928588
0.9560547, -0.1455078, -0.3535156, -12.8048782, -3.5975611, 1.1585366, -0.203769
0.9501953, -0.1396484, -0.3442383, -13.2317076, -3.1097562, 1.3414634, -0.2062867
0.9433594, -0.1347656, -0.3369141, -13.6585369, -2.0731707, 1.7073171, -0.193698
0.9384766, -0.1259766, -0.3369141, -14.3292685, -2.195122, 2.0121951, -0.1821164
0.9365234, -0.1220703, -0.3393555, -14.3902445, -2.0121951, 1.7682927, -0.1599603
0.9321289, -0.1152344, -0.3496094, -15.6707325, -2.6829269, 1.8902439, -0.1498894
0.9443359, -0.1220703, -0.3569336, -16.4634151, -2.9878049, 2.1341465, -0.1465324
0.9477539, -0.121582, -0.3564453, -17.6829281, -3.5365853, 2.195122, -0.1243763
0.9604492, -0.1328125, -0.3544922, -18.2317085, -3.7195122, 2.1341465, -0.10692
