Application:, Trigno Discover (1.6.5)
Date/Time:, 30/01/2025 09:32:17
Collection Length (seconds):, 29.0925
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-0.984375, 0.2675781, -0.1806641, -8.5975609, -1.402439, -0.1219512, -0.0607614
-0.9887695, 0.2749023, -0.1782227, -8.5365858, -1.4634147, 0.0609756, -0.0587472
-0.9887695, 0.2773438, -0.171875, -8.2317076, -2.0731707, 0.4878049, -0.0473335
-0.9790039, 0.2807617, -0.1713867, -8.719512, -2.3780489, 0.9756098, -0.0271916
-0.9614258, 0.2817383, -0.1738281, -9.6341467, -2.7439024, 1.9512196, -0.0097353
-0.9526367, 0.2749023, -0.1772461, -9.7560978, -2.804878, 2.5, -0.0114137
-0.9458008, 0.2685547, -0.1845703, -10.060976, -2.6219513, 3.2926829, -0.0036927
-0.9462891, 0.265625, -0.1845703, -9.2682924, -2.3780489, 3.5365853, 0.0036927
-0.9487305, 0.2631836, -0.1918945, -8.780488, -2.3780489, 3.9634147, 0.0137636
-0.9555664, 0.2602539, -0.1938477, -8.4146347, -2.8658538, 4.2682929, 0.014435
-0.9487305, 0.2641602, -0.1811523, -8.2317076, -3.1097562, 4.5731707, 0.0073854
-0.949707, 0.2670898, -0.1704102, -7.6829271, -3.9024391, 4.7560978, -0.0010071
-0.9501953, 0.2680664, -0.1699219, -7.5, -4.2682929, 5.0609756, -0.0090639
-0.9384766, 0.2548828, -0.1733398, -7.5609756, -5, 5.5487804, -0.0292058
-0.9394531, 0.25, -0.171875, -7.3170733, -5.2439027, 5.7926831, -0.0473335
-0.9399414, 0.2338867, -0.1699219, -6.7682929, -5.7926831, 5.8536587, -0.0621042
-0.9438477, 0.230957, -0.1772461, -6.7682929, -5.7317076, 5.8536587, -0.0715038
-0.9575195, 0.2216797, -0.2011719, -6.280488, -5.7317076, 6.280488, -0.073518
-0.9594727, 0.2148438, -0.2084961, -6.8292685, -6.0975609, 6.7073174, -0.0748608
-0.984375, 0.2036133, -0.2104492, -6.890244, -5.9146342, 6.7682929, -0.070161
-0.9956055, 0.1972656, -0.2060547, -6.280488, -6.1585369, 7.0731707, -0.0661326
-1.0161133, 0.1860352, -0.1928711, -6.4024391, -6.3414636, 7.4390244, -0.0654612
-1.03125, 0.1777344, -0.1826172, -6.3414636, -6.9512196, 8.1707315, -0.0607614
-1.0400391, 0.175293, -0.1762695, -6.8292685, -7.4390244, 8.2317076, -0.0587472
-1.0498047, 0.1865234, -0.1757812, -7.6219516, -8.2926826, 8.9634151, -0.0621042
-1.0512695, 0.199707, -0.1762695, -7.7439027, -9.2682924, 9.3292685, -0.056733
-1.0405273, 0.2236328, -0.1831055, -8.3536587, -10.060976, 10.7926836, -0.0493477
-1.0253906, 0.2348633, -0.1855469, -8.6585369, -10.7926836, 11.1585369, -0.0540475
-1.0043945, 0.2416992, -0.1982422, -8.9024391, -11.341464, 11.8902445, -0.056733
-1.0014648, 0.2382812, -0.1948242, -8.3536587, -10.7317076, 12.3780489, -0.0607614
-1.0014648, 0.2373047, -0.1953125, -8.2926826, -10.4268293, 12.1951218, -0.0594186
-1.0058594, 0.2363281, -0.2060547, -7.4390244, -10.060976, 12.3780489, -0.056733
-1.0273438, 0.2451172, -0.2163086, -7.5, -10.4268293, 12.7439032, -0.0513619
-1.0400391, 0.2631836, -0.230957, -7.2560978, -10.7317076, 13.1097565, -0.0406195
-1.0380859, 0.2651367, -0.2382812, -6.9512196, -11.0365858, 13.5365858, -0.03122
-1.0395508, 0.269043, -0.2519531, -7.6219516, -12.0121956, 13.4146347, -0.0218204
-1.0449219, 0.2666016, -0.253418, -7.5609756, -12.4390249, 13.2926836, -0.0224918
-1.0395508, 0.2788086, -0.2578125, -8.1707315, -13.0487804, 13.6585369, -0.0198062
-1.0410156, 0.2895508, -0.2529297, -8.4756098, -13.2317076, 13.5975609, -0.03122
-1.0371094, 0.3037109, -0.2338867, -9.1463413, -13.5365858, 13.4756098, -0.0493477
-1.0410156, 0.3139648, -0.2163086, -10, -14.3292685, 13.2317076, -0.0681468
-1.0371094, 0.3232422, -0.1860352, -10.4878054, -15, 13.1707315, -0.076875
-1.0351562, 0.324707, -0.1645508, -10.4878054, -16.0365849, 13.0487804, -0.0775463
-1.0292969, 0.2880859, -0.1201172, -9.3902445, -16.6463413, 13.2317076, -0.0835889
-1.0097656, 0.2290039, -0.0869141, -7.5609756, -17.3780499, 14.1463413, -0.1027237
-1.0048828, 0.2026367, -0.0693359, -7.3170733, -17.3170738, 14.4512196, -0.109102
-1.019043, 0.1723633, -0.0483398, -6.2195125, -16.3414631, 13.6585369, -0.1077592
-1.0322266, 0.1777344, -0.0449219, -4.8780489, -15.8536587, 13.1097565, -0.105745
-1.0556641, 0.2197266, -0.0576172, -3.2317073, -15.1219511, 13.3536587, -0.0889601
-1.0595703, 0.2490234, -0.074707, -3.4756098, -15.5487804, 13.780488, -0.0708324
-1.0419922, 0.2929688, -0.0878906, -3.2926829, -16.280489, 14.5121956, -0.0486763
-1.0200195, 0.3129883, -0.0957031, -3.5975611, -16.280489, 15.1829271, -0.024506
-0.9941406, 0.3344727, -0.1113281, -4.1463413, -15.9146347, 15.1829271, -0.0204776
-0.9916992, 0.3408203, -0.1196289, -5.4268293, -14.6341467, 15.3048782, -0.0164492
-0.9912109, 0.3481445, -0.1464844, -5.8536587, -14.3902445, 15.4878054, -0.0003357
