Application:, Trigno Discover (1.6.5)
Date/Time:, 03/02/2025 11:22:13
Collection Length (seconds):, 45.1575
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-0.9848633, 0.125, -0.2607422, 16.5853653, -75.7317123, 11.4634151, -0.0412909
-0.9760742, 0.121582, -0.2773438, 16.2195129, -75.5487823, 11.0975609, -0.0332341
-0.9780273, 0.121582, -0.2895508, 14.8780489, -75.8536606, 10.7926836, -0.0271916
-0.9824219, 0.1186523, -0.2949219, 14.2682934, -75.8536606, 10.7317076, -0.0231632
-0.9824219, 0.1152344, -0.2949219, 12.6219511, -76.8902435, 10.1219511, -0.0151064
-0.9902344, 0.1035156, -0.2817383, 12.0731707, -77.1951218, 10, -0.0191348
-0.9941406, 0.0981445, -0.2744141, 11.5243902, -77.4390259, 9.9390249, -0.0265202
-1.0039062, 0.0917969, -0.2451172, 12.0731707, -76.3414688, 10.3048782, -0.0271916
-1.0131836, 0.0874023, -0.2333984, 12.7439032, -75.7926865, 10.6097565, -0.0305486
-1.0151367, 0.0908203, -0.2304688, 13.7195129, -75.3658524, 11.219512, -0.0325628
-1.0126953, 0.0898438, -0.2290039, 14.0243902, -75.2439041, 11.5853662, -0.0372625
-1.0097656, 0.0864258, -0.2270508, 14.0853662, -74.8170776, 12.3170738, -0.0379339
-1.003418, 0.090332, -0.2402344, 13.6585369, -74.5121994, 12.560976, -0.0365911
-0.9980469, 0.0839844, -0.2460938, 13.4756098, -73.9634171, 13.2926836, -0.0406195
-0.9897461, 0.0727539, -0.2338867, 13.2926836, -74.3902435, 13.4756098, -0.0433051
-0.9897461, 0.0639648, -0.2143555, 11.8902445, -75.7926865, 13.780488, -0.0406195
-0.9848633, 0.0615234, -0.1743164, 11.0975609, -75.5487823, 13.9634151, -0.0433051
-0.9780273, 0.0517578, -0.1538086, 10.8536587, -73.7804871, 14.4512196, -0.0476692
-0.9775391, 0.0498047, -0.1503906, 12.9268293, -71.2195129, 14.9390249, -0.049012
-0.9746094, 0.0302734, -0.1625977, 13.9634151, -70.3048782, 15.3048782, -0.0503548
-0.9702148, 0.0292969, -0.168457, 15.3658543, -69.2073212, 15.7926836, -0.0513619
-0.9711914, 0.0249023, -0.1630859, 15.7317076, -69.0853653, 16.280489, -0.0506905
-0.9682617, 0.0229492, -0.1552734, 15.1219511, -68.3536606, 17.3780499, -0.0480049
-0.9624023, 0.0175781, -0.1464844, 15, -67.6219559, 17.8658543, -0.0379339
-0.9584961, 0.0146484, -0.1469727, 16.0365849, -66.1585388, 19.0853672, -0.03122
-0.9526367, 0.0185547, -0.1523438, 17.6219521, -65.18293, 19.5731716, -0.03122
-0.9462891, 0.0224609, -0.15625, 19.5731716, -63.9634171, 20.1219521, -0.0251774
-0.9384766, 0.0249023, -0.1708984, 19.8780499, -63.1707344, 20.1219521, -0.024506
-0.9345703, 0.0273438, -0.1708984, 20.060976, -61.8292694, 20.3658543, -0.0258488
-0.934082, 0.0380859, -0.168457, 20.2439022, -61.0975609, 20.6097565, -0.0231632
-0.9267578, 0.0483398, -0.1601562, 20.3658543, -60.6097565, 20.7926826, -0.027863
-0.9257812, 0.0527344, -0.1567383, 20.1829281, -58.5975609, 21.2195129, -0.03122
-0.918457, 0.059082, -0.1669922, 20.3048782, -57.9878044, 21.4024391, -0.0339055
-0.918457, 0.0585938, -0.1708984, 21.3414631, -57.2560997, 20.9756107, -0.0419623
-0.9228516, 0.0566406, -0.1767578, 22.0121956, -57.1951218, 20.5487804, -0.0473335
-0.9189453, 0.0571289, -0.1811523, 22.2560978, -57.1951218, 20.3658543, -0.0500191
-0.9140625, 0.0600586, -0.1855469, 22.5, -57.1341476, 20.2439022, -0.0533761
-0.9155273, 0.0595703, -0.1904297, 22.6219521, -56.6463432, 19.939024, -0.0553902
-0.9179688, 0.0551758, -0.190918, 22.8048782, -56.6463432, 20.060976, -0.0584115
-0.9174805, 0.0512695, -0.1938477, 23.7195129, -56.8292694, 19.6951218, -0.0540475
-0.9199219, 0.0449219, -0.1977539, 24.5731716, -56.9512215, 19.2682934, -0.0506905
-0.9194336, 0.0356445, -0.1923828, 24.6951218, -56.9512215, 19.0243912, -0.0486763
-0.9204102, 0.0336914, -0.1884766, 25.6097565, -57.3780518, 18.7195129, -0.0480049
-0.9223633, 0.0297852, -0.1904297, 26.3414631, -57.3170738, 18.5365849, -0.0459907
-0.9238281, 0.0380859, -0.1889648, 27.6829281, -56.5853653, 18.6585369, -0.042298
-0.9282227, 0.0463867, -0.1870117, 27.6829281, -56.341465, 18.5975609, -0.0382696
-0.9238281, 0.0541992, -0.1845703, 27.9878063, -55.6707344, 18.6585369, -0.0352483
-0.9174805, 0.0629883, -0.1923828, 27.560976, -55.0609779, 18.5975609, -0.0372625
-0.9121094, 0.0644531, -0.1870117, 25.7926826, -55.2439041, 17.8658543, -0.0345769
-0.9106445, 0.0751953, -0.171875, 24.6341476, -55.3048782, 17.439024, -0.0372625
-0.8999023, 0.0776367, -0.1420898, 22.8658543, -54.8170738, 16.7073174, -0.0372625
-0.8950195, 0.0830078, -0.1235352, 21.8292694, -54.2073174, 15.7926836, -0.0379339
-0.8901367, 0.081543, -0.0996094, 21.9512196, -53.4146347, 15.3048782, -0.0386053
-0.887207, 0.0834961, -0.0908203, 22.439024, -51.9512215, 14.6951227, -0.0365911
