,Application:, Trigno Discover (1.6.5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Date/Time:, 28/01/2025 14:43:53,,,,,
1,Collection Length (seconds):,44.6985,,,,,
2,wrist (81457), , , , , , bicep (81139)
3,sensor mode: 609, , , , , , sensor mode: 40
4,ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
5,370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
67,-0.9199219,0.4038086,0.1450195,-16.6463413,-21.6463413,5.7926831,-0.0372625
68,-0.9199219,0.4052734,0.1391602,-15.7926836,-21.6463413,5.670732,-0.0352483
69,-0.9189453,0.4140625,0.1313477,-14.5121956,-21.7073174,6.0975609,-0.0352483
70,-0.9165039,0.4223633,0.125,-13.9634151,-21.6463413,6.280488,-0.0365911
71,-0.90625,0.425293,0.1240234,-13.780488,-22.0121956,6.4024391,-0.0352483
72,-0.9018555,0.4272461,0.1308594,-13.780488,-22.2560978,6.5243902,-0.0352483
73,-0.9003906,0.4291992,0.1293945,-13.2317076,-22.0121956,6.4634147,-0.0392767
74,-0.8935547,0.4267578,0.1293945,-13.4146347,-21.8902435,6.7073174,-0.0412909
75,-0.8916016,0.4272461,0.1313477,-14.2073174,-21.7073174,6.9512196,-0.0419623
76,-0.8891602,0.4223633,0.1289062,-14.0853662,-21.5243912,7.6219516,-0.0439765
77,-0.8935547,0.4262695,0.125,-13.841464,-21.5243912,7.7439027,-0.0433051
78,-0.8911133,0.4379883,0.1259766,-13.6585369,-21.280489,8.0487804,-0.0406195
79,-0.8935547,0.4404297,0.1220703,-13.9024391,-21.280489,7.9878049,-0.0412909
80,-0.8959961,0.4487305,0.1157227,-13.841464,-21.2195129,7.6829271,-0.0426337
81,-0.9023438,0.4521484,0.109375,-14.2073174,-21.3414631,7.9878049,-0.0453193
82,-0.8984375,0.4492188,0.1108398,-14.6951227,-21.3414631,8.1707315,-0.0459907
83,-0.8989258,0.4472656,0.1025391,-14.4512196,-21.0975609,8.2317076,-0.0466621
84,-0.8979492,0.4501953,0.0952148,-14.2682934,-21.6463413,8.9634151,-0.0480049
85,-0.8994141,0.4501953,0.0849609,-13.9634151,-21.7073174,8.719512,-0.0513619
86,-0.8945312,0.4477539,0.0830078,-13.9634151,-21.7073174,9.0853662,-0.0503548
87,-0.8867188,0.4555664,0.0869141,-14.4512196,-22.2560978,9.0853662,-0.049012
88,-0.8769531,0.4555664,0.0942383,-14.5731707,-22.439024,8.719512,-0.0473335
89,-0.8735352,0.4643555,0.1005859,-14.5731707,-22.3780499,8.841464,-0.0486763
90,-0.8686523,0.4658203,0.0981445,-15.1219511,-22.0731716,9.0243902,-0.0527047
91,-0.859375,0.4672852,0.1040039,-16.0975609,-21.9512196,9.2073174,-0.0513619
92,-0.8686523,0.4614258,0.109375,-16.7073174,-21.7682934,9.4512196,-0.0540475
93,-0.8710938,0.4609375,0.1166992,-17.8048782,-21.5853672,9.5731707,-0.056733
94,-0.8745117,0.4458008,0.1230469,-18.9024391,-21.6463413,9.5731707,-0.056733
95,-0.8740234,0.4355469,0.1293945,-19.4512196,-20.9146347,10,-0.0547189
96,-0.8808594,0.4145508,0.128418,-19.3292694,-20.8536587,10,-0.0584115
97,-0.878418,0.4111328,0.1313477,-18.7195129,-21.0975609,10.1219511,-0.06009
98,-0.8789062,0.4086914,0.1352539,-18.0487804,-21.1585369,9.8170738,-0.0607614
99,-0.8740234,0.4101562,0.1396484,-17.6829281,-21.1585369,9.6341467,-0.0587472
100,-0.8735352,0.4082031,0.1381836,-17.2560978,-21.0975609,9.3902445,-0.0574044
101,-0.8735352,0.4135742,0.1411133,-16.8292694,-21.0365868,9.1463413,-0.0543832
102,-0.8701172,0.4194336,0.1337891,-15.9756098,-20.7926826,9.7560978,-0.0520333
103,-0.8666992,0.4306641,0.1186523,-16.0365849,-20.6097565,9.8780489,-0.0540475
104,-0.8652344,0.4360352,0.1147461,-16.280489,-20.3658543,10,-0.0513619
105,-0.8686523,0.4321289,0.1166992,-16.5853653,-20.1829281,9.9390249,-0.0540475
106,-0.8701172,0.4272461,0.1166992,-17.3780499,-20.2439022,10.4878054,-0.0533761
107,-0.8735352,0.4155273,0.1220703,-17.439024,-19.8780499,10.6707315,-0.0520333
108,-0.8725586,0.4121094,0.1308594,-17.6219521,-19.8780499,10.7317076,-0.0527047
109,-0.8725586,0.4038086,0.1303711,-17.0121956,-19.6341476,10.1829271,-0.0547189
110,-0.8730469,0.402832,0.1303711,-16.7682934,-19.6951218,10.3048782,-0.0500191
