Application:, Trigno Discover (1.6.5)
Date/Time:, 12/02/2025 16:33:35
Collection Length (seconds):, 32.9805
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9716797, -0.0791016, -0.2167969, -16.9512196, -8.841464, 3.7804878, 0.0320592
0.9609375, -0.090332, -0.2294922, -16.7682934, -9.0853662, 3.8414636, 0.0209812
0.9614258, -0.0961914, -0.2368164, -16.280489, -9.9390249, 4.390244, 0.0052033
0.965332, -0.1025391, -0.2504883, -15.6097565, -10.2439022, 4.3292685, -0.0105745
0.9775391, -0.1000977, -0.2475586, -14.7560978, -10, 4.0243902, -0.0263523
0.9907227, -0.1005859, -0.2387695, -13.4146347, -9.0853662, 2.6829269, -0.0364233
0.9970703, -0.0996094, -0.234375, -12.6219511, -8.780488, 2.3780489, -0.0431373
0.996582, -0.090332, -0.2338867, -11.7073174, -8.1707315, 1.9512196, -0.0424659
0.9912109, -0.0844727, -0.2373047, -11.7073174, -7.9878049, 2.0731707, -0.0468299
0.9882812, -0.0688477, -0.2446289, -12.0731707, -8.2317076, 2.3780489, -0.0431373
0.9902344, -0.0644531, -0.2470703, -12.0731707, -8.9024391, 2.4390244, -0.0357519
0.9951172, -0.0527344, -0.2524414, -12.5, -9.0853662, 2.6219513, -0.030045
1, -0.0498047, -0.2578125, -12.3170738, -8.6585369, 2.6219513, -0.0298772
0.9941406, -0.0458984, -0.2612305, -12.7439032, -8.719512, 2.9268293, -0.0283665
0.9941406, -0.0473633, -0.2548828, -13.4756098, -8.4756098, 3.4146342, -0.0238346
0.9892578, -0.0517578, -0.2529297, -13.9024391, -8.4756098, 3.2926829, -0.0206455
0.987793, -0.0498047, -0.2358398, -14.2073174, -8.6585369, 3.4146342, -0.0149386
0.9829102, -0.0522461, -0.2280273, -14.5731707, -8.6585369, 3.7195122, -0.01561
0.9790039, -0.0668945, -0.21875, -15.1829271, -8.5365858, 3.5365853, -0.0179599
0.9736328, -0.0712891, -0.2172852, -15.060976, -8.6585369, 3.3536587, -0.0276951
0.9672852, -0.0717773, -0.2275391, -15.2439032, -9.2073174, 4.2682929, -0.0290379
0.9682617, -0.0732422, -0.2324219, -15.3048782, -9.3292685, 4.2682929, -0.0330663
0.9702148, -0.0683594, -0.2358398, -14.6951227, -9.4512196, 4.0853658, -0.0397803
0.9804688, -0.0610352, -0.2353516, -14.5731707, -9.2073174, 3.9024391, -0.0448157
0.9853516, -0.0600586, -0.2353516, -14.2682934, -8.780488, 3.7804878, -0.0491798
0.9838867, -0.0610352, -0.2397461, -14.9390249, -8.5365858, 3.6585367, -0.0485084
0.9819336, -0.0678711, -0.2387695, -15.4878054, -9.0243902, 3.8414636, -0.0498512
0.9799805, -0.078125, -0.2387695, -15.9146347, -9.0243902, 3.9024391, -0.0538796
0.9790039, -0.0834961, -0.2387695, -15.9146347, -9.4512196, 4.0243902, -0.0595865
0.9799805, -0.0849609, -0.2348633, -15.5487804, -9.3292685, 4.1463413, -0.0659648
0.9814453, -0.0869141, -0.2319336, -14.8780489, -9.2682924, 4.0853658, -0.0693217
0.9819336, -0.0854492, -0.2338867, -14.1463413, -9.0243902, 3.3536587, -0.0639506
0.9804688, -0.0844727, -0.2314453, -13.9634151, -8.841464, 3.1097562, -0.0572366
0.9799805, -0.0800781, -0.2304688, -13.4146347, -8.5975609, 2.8658538, -0.0438087
0.980957, -0.0776367, -0.237793, -13.4756098, -8.4756098, 2.6219513, -0.0377661
0.980957, -0.0732422, -0.2397461, -13.5975609, -8.719512, 2.804878, -0.0287022
0.9775391, -0.0649414, -0.2446289, -13.9024391, -8.780488, 3.1097562, -0.0303807
0.9750977, -0.0649414, -0.2441406, -14.0853662, -8.780488, 3.1097562, -0.0404517
0.9819336, -0.0625, -0.2426758, -13.5365858, -8.4756098, 2.7439024, -0.0585794
0.9780273, -0.0649414, -0.2485352, -13.5975609, -8.4146347, 2.6829269, -0.0699931
0.9785156, -0.0756836, -0.2509766, -13.7195129, -8.1707315, 2.5, -0.068986
0.9780273, -0.0830078, -0.25, -13.841464, -8.2926826, 2.5609756, -0.0594186
0.9799805, -0.0786133, -0.246582, -13.7195129, -8.0487804, 3.0487804, -0.051194
0.9848633, -0.0776367, -0.2382812, -13.5975609, -7.6219516, 3.1097562, -0.0404517
0.980957, -0.0566406, -0.2285156, -12.6829271, -7.2560978, 2.6219513, -0.0280308
0.980957, -0.0390625, -0.2319336, -12.3170738, -7.4390244, 2.3780489, -0.0182956
0.980957, -0.0356445, -0.2363281, -12.6219511, -7.7439027, 2.4390244, -0.0072175
0.9882812, -0.0449219, -0.2460938, -13.6585369, -8.4756098, 3.2317073, -0.0062104
0.987793, -0.0522461, -0.246582, -14.0853662, -8.4146347, 3.4756098, -0.0015106
0.9868164, -0.059082, -0.2421875, -14.2073174, -8.4756098, 3.5975611, 0.0038605
0.9848633, -0.0678711, -0.2358398, -14.2073174, -8.4756098, 3.9024391, 0.0151064
0.9804688, -0.0639648, -0.234375, -13.2926836, -7.6219516, 3.6585367, 0.0223239
0.9785156, -0.0649414, -0.2314453, -13.1707315, -7.6829271, 3.5365853, 0.0184634
0.9726562, -0.0649414, -0.2358398, -13.1707315, -7.9268293, 3.3536587, 0.0159457
0.9765625, -0.0668945, -0.2348633, -12.6829271, -8.1097565, 3.2317073, 0.0179599
0.9838867, -0.0688477, -0.2324219, -12.5, -8.4756098, 3.2317073, 0.0191348
