Application:, Trigno Discover (1.6.5)
Date/Time:, 03/02/2025 10:37:50
Collection Length (seconds):, 34.02
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-0.9765625, 0.1855469, -0.2670898, -13.9024391, -8.5975609, 0.4268293, -0.0325628
-0.9750977, 0.1791992, -0.262207, -14.1463413, -9.0853662, 0.4268293, -0.0372625
-0.9707031, 0.1694336, -0.2578125, -14.3292685, -9.1463413, 0.4268293, -0.0439765
-0.9711914, 0.1611328, -0.2495117, -14.4512196, -9.3902445, -0.3658537, -0.0486763
-0.9780273, 0.15625, -0.2514648, -13.7195129, -8.9634151, -0.5487805, -0.0540475
-0.9824219, 0.152832, -0.2568359, -13.5975609, -8.6585369, -0.1829268, -0.0621042
-0.9833984, 0.1533203, -0.2587891, -13.3536587, -8.3536587, 0.4878049, -0.0688182
-0.9746094, 0.1533203, -0.2583008, -13.2317076, -8.6585369, 0.6707317, -0.0647898
-0.9726562, 0.1450195, -0.2543945, -13.3536587, -9.0243902, 0.7317073, -0.0580758
-0.9707031, 0.1391602, -0.2475586, -13.2926836, -8.780488, 0.7317073, -0.0480049
-0.9716797, 0.1479492, -0.2456055, -12.7439032, -8.5365858, 0.8536586, -0.0379339
-0.9750977, 0.1577148, -0.2426758, -12.6219511, -8.4756098, 1.2804878, -0.0318914
-0.9711914, 0.1582031, -0.2426758, -12.5, -8.0487804, 1.5243902, -0.0265202
-0.9697266, 0.1533203, -0.2412109, -12.6219511, -7.9268293, 1.4634147, -0.017792
-0.9677734, 0.1445312, -0.2543945, -12.8658543, -7.5609756, 1.5243902, -0.0184634
-0.9682617, 0.152832, -0.2490234, -12.7439032, -7.1341467, 2.0121951, -0.0271916
-0.9755859, 0.1694336, -0.2504883, -12.9878054, -7.1341467, 2.3170731, -0.0352483
-0.9716797, 0.1855469, -0.2524414, -13.2926836, -7.0121951, 2.0731707, -0.0332341
-0.9765625, 0.1938477, -0.2558594, -13.4146347, -6.8292685, 1.9512196, -0.027863
-0.9731445, 0.1904297, -0.2607422, -14.0243902, -7.8048782, 1.7682927, -0.0258488
-0.9677734, 0.1782227, -0.2602539, -13.841464, -7.8658538, 1.7682927, -0.0265202
-0.9628906, 0.1635742, -0.2612305, -14.2073174, -7.8658538, 1.9512196, -0.0198062
-0.9672852, 0.159668, -0.2617188, -13.841464, -7.6829271, 1.7682927, -0.0167849
-0.9770508, 0.1704102, -0.2587891, -14.2073174, -7.8658538, 1.4634147, -0.0292058
-0.9868164, 0.1748047, -0.2519531, -13.9634151, -7.7439027, 1.402439, -0.0258488
-0.9882812, 0.184082, -0.246582, -14.6951227, -7.6829271, 1.402439, -0.0198062
-0.9824219, 0.1904297, -0.237793, -14.2073174, -7.8048782, 2.0121951, -0.027863
-0.9765625, 0.1762695, -0.2392578, -14.3902445, -7.7439027, 2.0731707, -0.0292058
-0.965332, 0.1669922, -0.2397461, -14.5731707, -7.4390244, 1.7682927, -0.0305486
-0.9624023, 0.1572266, -0.2407227, -14.2682934, -7.4390244, 1.6463414, -0.0271916
-0.9643555, 0.1601562, -0.2441406, -13.780488, -6.890244, 1.1585366, -0.0339055
-0.9731445, 0.1645508, -0.2524414, -13.4756098, -6.7682929, 1.1585366, -0.0412909
-0.9897461, 0.1791992, -0.2612305, -13.2317076, -6.5853658, 0.7926829, -0.0419623
-0.9956055, 0.184082, -0.2592773, -13.5975609, -6.6463418, 0.9756098, -0.0453193
-0.9931641, 0.1806641, -0.2519531, -14.5121956, -6.5243902, 1.2804878, -0.0463264
-0.9882812, 0.1762695, -0.2485352, -14.7560978, -6.6463418, 1.4634147, -0.056733
-0.9765625, 0.1767578, -0.2470703, -15.1829271, -6.5853658, 1.3414634, -0.0513619
-0.9702148, 0.1743164, -0.2539062, -15.3048782, -6.7682929, 1.2804878, -0.0500191
-0.9682617, 0.1777344, -0.2573242, -14.9390249, -6.7682929, 1.0365853, -0.0547189
-0.9702148, 0.1723633, -0.2587891, -14.8170738, -7.1341467, 0.9146342, -0.042298
-0.9799805, 0.1586914, -0.2617188, -14.8780489, -7.5609756, 0.9146342, -0.0275273
-0.9804688, 0.1484375, -0.2587891, -14.6341467, -7.8048782, 1.1585366, -0.0339055
-0.9838867, 0.1401367, -0.2568359, -14.6951227, -7.8048782, 1.4634147, -0.0527047
-0.9863281, 0.1474609, -0.2563477, -14.2682934, -7.5, 1.5243902, -0.0594186
-0.9833984, 0.152832, -0.2695312, -14.2073174, -7.3170733, 1.7073171, -0.0486763
-0.9819336, 0.1650391, -0.2700195, -13.9634151, -7.3170733, 2.3780489, -0.0433051
-0.9760742, 0.1708984, -0.269043, -14.0853662, -7.6219516, 2.6219513, -0.0386053
-0.9677734, 0.1767578, -0.2617188, -14.4512196, -8.4756098, 2.6219513, -0.0288701
-0.9638672, 0.1728516, -0.2548828, -14.3292685, -9.0853662, 1.9512196, -0.0275273
-0.9711914, 0.1679688, -0.2524414, -14.5121956, -9.2073174, 1.9512196, -0.0231632
-0.9780273, 0.1704102, -0.2553711, -14.3292685, -9.3902445, 1.5853659, -0.0218204
-0.9882812, 0.1782227, -0.2641602, -14.2682934, -9.3292685, 1.8292683, -0.0255131
-0.9887695, 0.1757812, -0.2685547, -14.4512196, -9.3902445, 2.2560976, -0.0345769
-0.984375, 0.1748047, -0.2651367, -14.6341467, -9.6951218, 2.3170731, -0.0406195
