Application:, Trigno Discover (1.6.5)
Date/Time:, 05/02/2025 16:49:33
Collection Length (seconds):, 31.455
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9824219, -0.1044922, -0.1889648, -7.1951222, -4.7560978, 0.5487805, -0.0048676
0.9829102, -0.1157227, -0.1923828, -8.4756098, -4.1463413, 0.8536586, -0.0035248
0.9833984, -0.1235352, -0.1870117, -8.9024391, -4.1463413, 1.3414634, -0.002182
0.9804688, -0.1279297, -0.184082, -9.1463413, -3.7195122, 2.4390244, -0.002182
0.9829102, -0.1367188, -0.1743164, -9.0853662, -3.6585367, 2.5, -0.0008392
0.9853516, -0.1396484, -0.1689453, -8.4146347, -3.5365853, 2.5, -0.0109102
0.984375, -0.1459961, -0.1689453, -8.0487804, -3.4146342, 2.3780489, -0.0162814
0.980957, -0.1430664, -0.1679688, -7.5, -2.9268293, 2.1341465, -0.01561
0.9667969, -0.1323242, -0.1704102, -8.2317076, -3.0487804, 2.4390244, -0.0109102
0.9536133, -0.1152344, -0.1708984, -8.5365858, -2.9268293, 3.1707318, 0.0011749
0.9423828, -0.1069336, -0.1635742, -10.060976, -2.6219513, 5, 0.0062104
0.9423828, -0.1123047, -0.1621094, -11.219512, -2.804878, 5.1219511, 0.0031891
0.9575195, -0.137207, -0.15625, -12.560976, -4.0853658, 4.2682929, 0.0058747
0.96875, -0.1645508, -0.1494141, -13.2317076, -4.8170733, 3.6585367, 0.0095674
0.9736328, -0.1738281, -0.1386719, -12.4390249, -5.670732, 2.5, 0.008896
0.9746094, -0.1860352, -0.1367188, -11.8292685, -5.670732, 1.8292683, 0.0045319
0.9746094, -0.1865234, -0.1352539, -9.3292685, -5.2439027, 2.0731707, 0.002182
0.9780273, -0.1821289, -0.1425781, -7.9878049, -5, 2.1341465, -0.0075532
0.9790039, -0.1816406, -0.1499023, -7.5, -4.7560978, 2.195122, -0.0146029
0.9746094, -0.1616211, -0.1640625, -7.2560978, -4.5121951, 2.195122, -0.0240024
0.9731445, -0.1547852, -0.1733398, -7.6219516, -4.8170733, 2.195122, -0.0323949
0.96875, -0.1425781, -0.1826172, -7.8658538, -5.0609756, 2.3780489, -0.0431373
0.9726562, -0.1376953, -0.1787109, -8.0487804, -5.7317076, 2.3780489, -0.0520333
0.9848633, -0.1313477, -0.168457, -7.4390244, -5.9756098, 1.9512196, -0.0609293
0.9926758, -0.1318359, -0.159668, -7.5, -5.8536587, 1.7682927, -0.0652934
0.9897461, -0.1328125, -0.1542969, -7.3780489, -5.3658538, 1.8292683, -0.0622721
0.9882812, -0.1254883, -0.1567383, -7.4390244, -5.2439027, 1.7682927, -0.0605936
0.9838867, -0.1293945, -0.1601562, -7.8048782, -5.4268293, 1.7682927, -0.0565652
0.9750977, -0.1347656, -0.1679688, -8.3536587, -5.609756, 1.7073171, -0.0542153
0.9663086, -0.1342773, -0.1669922, -8.719512, -6.0975609, 2.0121951, -0.057908
0.9643555, -0.1362305, -0.1704102, -8.719512, -6.890244, 2.4390244, -0.0622721
0.9643555, -0.1396484, -0.1723633, -8.719512, -6.9512196, 2.5, -0.0602579
0.9716797, -0.1469727, -0.1699219, -8.3536587, -6.890244, 2.3780489, -0.0636149
0.9697266, -0.1459961, -0.1665039, -8.0487804, -6.7682929, 2.195122, -0.0659648
0.9682617, -0.1367188, -0.1640625, -7.9878049, -6.9512196, 2.2560976, -0.0686503
0.9614258, -0.1328125, -0.1635742, -7.8048782, -7.1341467, 2.195122, -0.070161
0.9628906, -0.1289062, -0.1606445, -8.0487804, -7.1951222, 2.4390244, -0.0783856
0.9672852, -0.121582, -0.1640625, -7.9878049, -7.5609756, 2.6829269, -0.0807355
0.9667969, -0.1235352, -0.1674805, -8.3536587, -7.6219516, 2.8658538, -0.0820783
0.96875, -0.1259766, -0.1723633, -8.6585369, -7.8048782, 2.5609756, -0.0740215
0.9697266, -0.1264648, -0.1733398, -9.2682924, -7.6829271, 2.195122, -0.0743572
0.9711914, -0.1337891, -0.1743164, -10.1829271, -7.6219516, 2.4390244, -0.0743572
0.9711914, -0.1430664, -0.1674805, -10.3048782, -7.9878049, 2.5, -0.0683146
0.9711914, -0.1484375, -0.1591797, -9.3292685, -8.1097565, 2.804878, -0.0652934
0.9702148, -0.1494141, -0.1586914, -8.841464, -8.0487804, 2.9268293, -0.0599222
0.965332, -0.1489258, -0.1611328, -7.6219516, -8.1097565, 2.6829269, -0.0525368
0.9692383, -0.1474609, -0.1669922, -7.4390244, -7.9268293, 2.6829269, -0.0513619
0.9672852, -0.1523438, -0.1699219, -7.1341467, -7.9878049, 2.5, -0.0471656
0.9741211, -0.1591797, -0.1694336, -7.1951222, -7.9878049, 2.6829269, -0.0464942
0.9775391, -0.159668, -0.1655273, -6.9512196, -7.8658538, 2.4390244, -0.0438087
0.9760742, -0.1552734, -0.15625, -6.890244, -8.0487804, 2.195122, -0.0377661
0.980957, -0.1547852, -0.1542969, -6.3414636, -8.1707315, 1.8902439, -0.0302129
0.9824219, -0.1503906, -0.1572266, -5.609756, -8.1707315, 1.7682927, -0.0216526
0.9814453, -0.1445312, -0.1591797, -5.2439027, -7.8658538, 1.7682927, -0.0169528
0.9829102, -0.1401367, -0.1704102, -5.5487804, -8.0487804, 1.7073171, -0.0176242
0.9833984, -0.1396484, -0.1796875, -5.5487804, -8.0487804, 1.6463414, -0.01561
