,Application:, Trigno Discover (1.6.5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Date/Time:, 28/01/2025 15:25:03,,,,,
1,Collection Length (seconds):,50.1525,,,,,
2,wrist (81457), , , , , , bicep (81139)
3,sensor mode: 609, , , , , , sensor mode: 40
4,ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
5,370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
6,-0.8608398,0.4912109,-0.078125,-35.9756088,6.5853658,1.9512196,-0.0433051
7,-0.8579102,0.4833984,-0.0688477,-36.8292694,6.6463418,2.0121951,-0.0459907
8,-0.8579102,0.4814453,-0.0629883,-37.2560997,6.6463418,1.7682927,-0.0446479
9,-0.8569336,0.4858398,-0.0556641,-37.5,7.3170733,1.097561,-0.0453193
10,-0.855957,0.4838867,-0.0498047,-37.3780479,7.1951222,0.6097561,-0.0480049
11,-0.8647461,0.4892578,-0.0429688,-37.4390259,7.0121951,0.0609756,-0.0540475
12,-0.8647461,0.4887695,-0.0439453,-37.8658562,7.0121951,-0.4878049,-0.0459907
13,-0.8618164,0.484375,-0.0429688,-38.3536606,7.0121951,0,-0.0412909
14,-0.8598633,0.4780273,-0.0400391,-38.5975609,7.0731707,-0.0609756,-0.0419623
15,-0.8583984,0.4726562,-0.0463867,-38.9024391,7.3170733,0.6097561,-0.0419623
16,-0.8603516,0.4648438,-0.050293,-39.0243912,7.6829271,0.6097561,-0.0412909
17,-0.8618164,0.4628906,-0.0507812,-39.0243912,8.2926826,0.6097561,-0.0500191
18,-0.8598633,0.4624023,-0.0517578,-39.1463432,8.2317076,0.7317073,-0.0480049
19,-0.8569336,0.4628906,-0.0527344,-39.2682953,8.2317076,-0.3048781,-0.0406195
20,-0.8608398,0.4658203,-0.0585938,-39.9390259,9.0243902,-1.2804878,-0.0426337
21,-0.8603516,0.46875,-0.0605469,-39.7560997,9.0243902,-1.2804878,-0.0369268
22,-0.8662109,0.4775391,-0.0625,-40.1219521,8.9024391,-1.9512196,-0.0426337
23,-0.8652344,0.4824219,-0.0620117,-40.5487823,8.9634151,-1.8902439,-0.0399481
24,-0.8647461,0.4946289,-0.0664062,-41.4634171,9.2073174,-2.5,-0.0426337
25,-0.8554688,0.5009766,-0.0688477,-42.2560997,9.2682924,-2.6219513,-0.0439765
26,-0.8554688,0.5,-0.0688477,-43.6585388,9.3292685,-2.3780489,-0.0480049
27,-0.8476562,0.4985352,-0.0703125,-44.2073174,9.3902445,-2.3170731,-0.0446479
28,-0.8452148,0.496582,-0.0693359,-45.3658562,9.9390249,-2.6829269,-0.0446479
29,-0.847168,0.4912109,-0.0678711,-45.7926826,10.3658543,-2.8658538,-0.0433051
30,-0.8500977,0.4931641,-0.0654297,-46.5243912,10.9146347,-2.804878,-0.0513619
31,-0.8544922,0.496582,-0.065918,-47.1341476,11.4634151,-3.1097562,-0.0527047
32,-0.8579102,0.4980469,-0.0644531,-47.4390259,11.5853662,-3.1097562,-0.0459907
33,-0.8598633,0.5,-0.0654297,-48.5975609,11.7682934,-3.2317073,-0.0473335
34,-0.8642578,0.4990234,-0.0634766,-49.0243912,12.0731707,-3.1707318,-0.0459907
35,-0.8730469,0.4975586,-0.0600586,-49.9390259,11.9512196,-3.5365853,-0.0459907
36,-0.8745117,0.4990234,-0.0546875,-50,12.3170738,-3.7195122,-0.0476692
37,-0.8725586,0.4956055,-0.0488281,-50.6097565,12.1341467,-3.7804878,-0.0486763
38,-0.8735352,0.4926758,-0.0361328,-50.9146347,12.0731707,-3.8414636,-0.0500191
39,-0.8725586,0.4858398,-0.0292969,-50.6097565,12.0731707,-4.2682929,-0.0527047
40,-0.8769531,0.4848633,-0.0244141,-50.4878044,12.3170738,-4.1463413,-0.056733
41,-0.8769531,0.4848633,-0.0229492,-50.1829262,12.6219511,-4.2682929,-0.0547189
42,-0.8793945,0.4790039,-0.019043,-50.3048782,12.6829271,-4.2682929,-0.0553902
43,-0.8823242,0.4780273,-0.0185547,-50.3658562,12.8048782,-4.1463413,-0.0560616
44,-0.8789062,0.4775391,-0.0200195,-50.3048782,12.6219511,-4.2073174,-0.0540475
45,-0.8813477,0.4760742,-0.0273438,-50.3048782,12.6829271,-4.390244,-0.0540475
46,-0.8798828,0.465332,-0.0366211,-50.9146347,12.7439032,-4.2073174,-0.0560616
47,-0.8793945,0.4482422,-0.0371094,-51.2195129,12.8658543,-4.2073174,-0.056733
48,-0.878418,0.4375,-0.0371094,-51.4024391,12.9268293,-3.5975611,-0.0500191
49,-0.8789062,0.4277344,-0.0439453,-51.1585388,12.9268293,-3.5975611,-0.0486763
50,-0.8745117,0.4291992,-0.043457,-50.8536606,13.4146347,-3.9024391,-0.0473335
51,-0.8735352,0.4404297,-0.0380859,-50.7926826,13.7195129,-4.6951222,-0.0486763
52,-0.8789062,0.4443359,-0.0385742,-50.2439041,13.9024391,-5.1219511,-0.0540475
53,-0.8828125,0.4575195,-0.0400391,-50.0609779,14.1463413,-5.4878049,-0.0607614
54,-0.8876953,0.4648438,-0.0444336,-49.7560997,14.1463413,-5.670732,-0.0513619
55,-0.8911133,0.4780273,-0.0458984,-49.6951218,13.9024391,-5.9756098,-0.0453193
56,-0.8891602,0.4897461,-0.0473633,-49.3902435,13.4756098,-5.7926831,-0.0446479
57,-0.8833008,0.5019531,-0.0541992,-49.7560997,13.7195129,-6.280488,-0.0466621
58,-0.8857422,0.5097656,-0.0595703,-49.7560997,13.7195129,-6.2195125,-0.0466621
