Application:, Trigno Discover (1.6.5)
Date/Time:, 18/02/2025 16:47:02
Collection Length (seconds):, 38.9205
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-0.6630859, 0.7431641, -0.3154297, -11.8292685, -11.8292685, 0.6707317, -0.0787213
-0.6538086, 0.7426758, -0.2958984, -11.9512196, -12.6219511, 0.6097561, -0.0914778
-0.6513672, 0.7431641, -0.2880859, -11.7073174, -12.8048782, 0.3658537, -0.1018845
-0.6425781, 0.734375, -0.2817383, -10.9146347, -13.1707315, 0.4878049, -0.1003738
-0.6352539, 0.7348633, -0.2817383, -10.6707315, -12.560976, 0.1829268, -0.0938277
-0.6235352, 0.7294922, -0.2832031, -10.060976, -11.6463413, 0.4268293, -0.0887922
-0.6240234, 0.7294922, -0.2841797, -10.060976, -11.4634151, 0.5487805, -0.0856031
-0.6137695, 0.7314453, -0.2880859, -10.3658543, -11.0365858, 0.7317073, -0.0814069
-0.6098633, 0.7392578, -0.2900391, -10.4268293, -11.0365858, 0.7926829, -0.0699931
-0.6083984, 0.7431641, -0.293457, -10.6097565, -10.4878054, 0.2439024, -0.061265
-0.6132812, 0.7431641, -0.2954102, -10.7317076, -9.7560978, -0.1219512, -0.0592508
-0.6152344, 0.7431641, -0.3081055, -10.7926836, -9.0243902, -0.2439024, -0.0557259
-0.612793, 0.7416992, -0.3154297, -11.1585369, -8.9024391, -0.1829268, -0.0525368
-0.6118164, 0.7441406, -0.3144531, -11.8292685, -9.2073174, -0.5487805, -0.04448
-0.6206055, 0.7368164, -0.3032227, -12.5, -9.0853662, -1.402439, -0.036759
-0.6230469, 0.7338867, -0.2973633, -12.9878054, -8.719512, -1.6463414, -0.023331
-0.6357422, 0.7324219, -0.3061523, -12.9268293, -8.4146347, -1.7073171, -0.005539
-0.6376953, 0.7329102, -0.3105469, -12.0731707, -8.4146347, -1.2804878, 0.0038605
-0.6494141, 0.7290039, -0.3261719, -12.1951218, -8.1097565, -1.097561, 0.0052033
-0.6552734, 0.7260742, -0.3212891, -12.4390249, -8.2926826, -1.1585366, 0.0011749
-0.6679688, 0.7270508, -0.3046875, -12.9878054, -8.0487804, -2.0121951, -0.0058747
-0.6757812, 0.7260742, -0.3012695, -13.2317076, -8.3536587, -1.5853659, -0.0099031
-0.6679688, 0.7382812, -0.309082, -11.6463413, -9.2073174, -0.0609756, -0.0132601
-0.6391602, 0.7460938, -0.3266602, -10.4268293, -10.4268293, 0.7317073, -0.0135958
-0.621582, 0.7446289, -0.3310547, -10.6097565, -11.0365858, 0.8536586, -0.0082246
-0.6069336, 0.737793, -0.3349609, -12.3170738, -9.9390249, -0.3658537, -0.0005035
-0.6069336, 0.7402344, -0.3291016, -13.1707315, -9.0243902, -0.9146342, 0.0005035
-0.6264648, 0.7358398, -0.3208008, -13.6585369, -7.8048782, -1.1585366, 0.0043641
-0.6347656, 0.734375, -0.3222656, -13.4146347, -7.5, -0.9756098, 0.0060426
-0.6533203, 0.7416992, -0.3295898, -12.4390249, -7.9268293, -0.1829268, 0.0065461
-0.6582031, 0.7436523, -0.3349609, -12.4390249, -8.2926826, 0.0609756, 0.0105745
-0.6645508, 0.7539062, -0.3364258, -12.0121956, -9.5121956, 0.0609756, 0.0115816
-0.6679688, 0.7553711, -0.3339844, -12.2560978, -9.7560978, 0.2439024, 0.0065461
-0.6694336, 0.7456055, -0.3374023, -12.2560978, -10.4878054, 0.5487805, 0.0031891
-0.6660156, 0.7314453, -0.3305664, -12.2560978, -10.5487804, 0.4878049, -0.0028534
-0.668457, 0.7202148, -0.3266602, -12.4390249, -10.6097565, 0.6707317, -0.0068818
-0.6635742, 0.7158203, -0.3027344, -12.0731707, -10.4268293, 0.6097561, -0.0095674
-0.6635742, 0.7143555, -0.2954102, -11.6463413, -10.3658543, 0.9756098, -0.0095674
-0.6499023, 0.7319336, -0.2924805, -10.3048782, -11.8292685, 1.6463414, -0.0082246
-0.628418, 0.7402344, -0.2973633, -9.5731707, -12.5, 1.9512196, -0.0105745
-0.5932617, 0.7490234, -0.3081055, -9.0853662, -12.8048782, 2.0731707, -0.0099031
-0.5839844, 0.7514648, -0.3164062, -9.8780489, -12.2560978, 1.402439, -0.0082246
-0.5844727, 0.7475586, -0.3129883, -12.0121956, -10, 0.2439024, -0.008896
-0.5917969, 0.7412109, -0.3115234, -12.8658543, -9.1463413, -0.4268293, -0.0095674
-0.6113281, 0.7387695, -0.3134766, -13.5365858, -7.8048782, -0.6707317, -0.0075532
-0.6347656, 0.7470703, -0.3203125, -13.4756098, -8.1097565, -0.9146342, -0.0048676
-0.6376953, 0.7548828, -0.3198242, -13.4146347, -8.6585369, -0.6707317, 0.005539
-0.6445312, 0.7568359, -0.3164062, -13.4146347, -9.3292685, -0.7317073, 0.0119173
-0.6425781, 0.7504883, -0.3168945, -13.7195129, -9.4512196, -0.9756098, 0.0149386
-0.6425781, 0.7402344, -0.3208008, -13.5975609, -9.3292685, -1.097561, 0.01561
-0.6420898, 0.7280273, -0.3198242, -13.5975609, -9.2073174, -0.7926829, 0.0151064
-0.6430664, 0.7133789, -0.3173828, -13.2926836, -8.9634151, -0.5487805, 0.0078889
-0.6464844, 0.7114258, -0.3105469, -13.0487804, -9.0853662, -0.7317073, -0.0038605
-0.6518555, 0.7197266, -0.3051758, -13.0487804, -9.0243902, -0.6707317, -0.0035248
